node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-326,m3-346,0x000000a469,21,1843,1237,2018-05-10 18:37:20.39549
m3-321,m3-322,0x000000a4b5,21,65535,1432,2018-05-10 18:37:21.550237
m3-305,m3-314,0x000000a8c8,21,2005,1493,2018-05-10 18:37:37.269431
m3-306,m3-314,0x000000a9a8,21,2005,1493,2018-05-10 18:37:40.503403
m3-321,m3-326,0x000000ac4b,21,65535,1749,2018-05-10 18:37:50.585342
m3-329,m3-330,0x000000b388,21,65535,1280,2018-05-10 18:38:18.262762
m3-335,m3-351,0x000000b7f1,21,3840,981,2018-05-10 18:38:35.37978
m3-326,m3-330,0x000000c468,21,65535,1280,2018-05-10 18:39:23.103569
m3-326,m3-325,0x000000c469,21,65535,1376,2018-05-10 18:39:23.267306
m3-321,m3-325,0x000000caa1,21,65535,1376,2018-05-10 18:39:46.924863
m3-326,m3-314,0x000000cc0c,21,65535,1493,2018-05-10 18:39:52.386733
m3-326,m3-321,0x000000cc0c,21,65535,2005,2018-05-10 18:39:52.485
m3-313,m3-330,0x000000cc70,21,65535,1376,2018-05-10 18:39:53.860879
m3-325,m3-335,0x000000cf43,21,2176,1237,2018-05-10 18:40:04.746252
m3-314,m3-330,0x000000d3a8,21,65535,1376,2018-05-10 18:40:21.597877
m3-310,m3-314,0x000000d663,21,65535,1493,2018-05-10 18:40:32.178196
m3-305,m3-313,0x000000d8e1,21,2175,1561,2018-05-10 18:40:41.657412
m3-326,m3-329,0x000000dd73,21,65535,1536,2018-05-10 18:40:59.096908
m3-310,m3-313,0x000000ddda,21,65535,1749,2018-05-10 18:41:00.592846
m3-302,m3-306,0x000000dfa5,21,65535,1749,2018-05-10 18:41:07.67703
m3-301,m3-306,0x000000e087,21,65535,1749,2018-05-10 18:41:11.033483
m3-306,m3-313,0x000000e16e,21,65535,1632,2018-05-10 18:41:14.337181
m3-302,m3-317,0x000000e72b,21,65535,1632,2018-05-10 18:41:36.337545
m3-301,m3-309,0x000000e815,21,65535,1938,2018-05-10 18:41:39.972443
m3-301,m3-302,0x000000e815,21,65535,1944,2018-05-10 18:41:40.144786
m3-306,m3-317,0x000000e904,21,65535,1688,2018-05-10 18:41:43.579798
m3-302,m3-309,0x000000ec82,21,2688,1792,2018-05-10 18:41:56.988866
m3-317,m3-322,0x000000ed7b,21,1962,1280,2018-05-10 18:42:00.816184
m3-301,m3-302,0x000000ef3b,21,65535,2048,2018-05-10 18:42:07.275214
m3-306,m3-310,0x000000f177,21,65535,1848,2018-05-10 18:42:15.943211
m3-314,m3-322,0x000000f236,21,65535,1376,2018-05-10 18:42:18.692424
m3-326,m3-339,0x000000fa99,21,1536,1024,2018-05-10 18:42:51.126828
m3-334,m3-351,0x00000106a6,21,1493,981,2018-05-10 18:43:37.319873
m3-330,m3-322,0x00000109a5,21,65535,1280,2018-05-10 18:43:48.716863
m3-313,m3-322,0x0000011151,21,65535,1280,2018-05-10 18:44:18.041072
m3-317,m3-326,0x0000011440,21,1962,1280,2018-05-10 18:44:29.458123
m3-330,m3-339,0x0000011440,21,1962,1024,2018-05-10 18:44:29.468352
m3-318,m3-339,0x0000011619,21,1962,1237,2018-05-10 18:44:36.53051
m3-310,m3-322,0x000001198c,21,65535,1280,2018-05-10 18:44:49.621594
m3-305,m3-310,0x0000011bd3,21,65535,1536,2018-05-10 18:44:58.333805
m3-301,m3-310,0x0000011ef0,21,2048,1536,2018-05-10 18:45:10.343181
m3-298,m3-309,0x0000012100,21,65535,1888,2018-05-10 18:45:18.387885
m3-310,m3-317,0x0000012956,21,3840,1536,2018-05-10 18:45:50.221604
m3-334,m3-347,0x0000012fed,21,65535,1024,2018-05-10 18:46:15.445529
m3-334,m3-343,0x0000012fed,21,65535,1024,2018-05-10 18:46:15.504104
m3-298,m3-305,0x0000013358,21,4352,1792,2018-05-10 18:46:28.658076
m3-339,m3-358,0x00000137d0,21,3328,725,2018-05-10 18:46:45.805126
m3-318,m3-322,0x000001411d,21,65535,1280,2018-05-10 18:47:21.381528
m3-318,m3-313,0x00000148a1,21,65535,1536,2018-05-10 18:47:50.384571
m3-326,m3-335,0x0000015d2b,21,65535,1237,2018-05-10 18:49:09.014081
m3-326,m3-322,0x0000015d2b,21,65535,1262,2018-05-10 18:49:09.092592
m3-339,m3-351,0x0000015db6,21,3072,768,2018-05-10 18:49:11.270176
m3-326,m3-330,0x00000164ce,21,65535,1280,2018-05-10 18:49:38.270006
m3-326,m3-314,0x00000164ce,21,65535,1493,2018-05-10 18:49:38.353911
m3-317,m3-329,0x00000168dc,21,65535,1592,2018-05-10 18:49:53.850031
m3-309,m3-322,0x0000016b48,21,65535,1376,2018-05-10 18:50:03.094746
m3-310,m3-322,0x0000016ba2,21,65535,1336,2018-05-10 18:50:04.446124
m3-329,m3-335,0x000001705e,21,1728,1170,2018-05-10 18:50:22.833311
m3-317,m3-310,0x000001706c,21,65535,1792,2018-05-10 18:50:22.850761
m3-317,m3-309,0x000001706c,21,65535,1792,2018-05-10 18:50:22.924215
m3-317,m3-330,0x00000170f3,21,65535,1784,2018-05-10 18:50:24.868823
m3-305,m3-313,0x00000172cb,21,2197,1536,2018-05-10 18:50:32.040397
m3-306,m3-313,0x000001756b,21,2197,1536,2018-05-10 18:50:42.244625
m3-318,m3-325,0x0000017f54,21,1984,1361,2018-05-10 18:51:20.207197
m3-309,m3-310,0x00000181a5,21,65535,1592,2018-05-10 18:51:29.040489
m3-309,m3-302,0x00000181a5,21,65535,2048,2018-05-10 18:51:29.112701
m3-302,m3-305,0x0000018529,21,65535,1792,2018-05-10 18:51:42.458248
m3-326,m3-318,0x0000018afd,21,65535,1749,2018-05-10 18:52:04.786972
m3-309,m3-306,0x0000018c0f,21,65535,1792,2018-05-10 18:52:08.841179
m3-326,m3-335,0x000001903d,21,1749,1237,2018-05-10 18:52:25.06634
m3-322,m3-343,0x00000197b8,21,1706,1120,2018-05-10 18:52:53.940945
m3-322,m3-335,0x000001a53a,21,3584,1262,2018-05-10 18:53:45.657791
m3-322,m3-339,0x000001af9f,21,1544,1024,2018-05-10 18:54:25.360231
m3-321,m3-330,0x000001b1aa,21,1800,1280,2018-05-10 18:54:33.305501
m3-309,m3-322,0x000001b1aa,21,2005,1426,2018-05-10 18:54:33.351266
m3-302,m3-309,0x000001c0b9,21,2195,1682,2018-05-10 18:55:31.036733
m3-301,m3-309,0x000001c359,21,2342,1682,2018-05-10 18:55:41.1643
m3-299,m3-309,0x000001c38b,21,2195,1682,2018-05-10 18:55:41.751275
m3-314,m3-325,0x000001c866,21,1874,1280,2018-05-10 18:56:00.676898
m3-326,m3-339,0x000001ce09,21,3609,1024,2018-05-10 18:56:21.968816
