sender,asn,asn_in,seqnum,time
m3-220,0x0000000d89,0x0000000d1b,6,2018-02-13 12:34:15.126055
m3-220,0x00000012b6,0x0000001280,7,2018-02-13 12:34:34.986087
m3-213,0x00000012fa,0x0000001250,7,2018-02-13 12:34:36.001696
m3-213,0x00000017a4,0x00000016ef,8,2018-02-13 12:34:53.882697
m3-220,0x0000001844,0x00000017d2,8,2018-02-13 12:34:56.280659
m3-236,0x000000186b,0x0000001750,7,2018-02-13 12:34:56.856119
m3-236,0x0000001871,0x0000001750,7,2018-02-13 12:34:56.960497
m3-213,0x0000001c4e,0x0000001bfc,9,2018-02-13 12:35:11.775361
m3-224,0x0000001d15,0x0000001c65,9,2018-02-13 12:35:14.762432
m3-236,0x0000001d3a,0x0000001c75,8,2018-02-13 12:35:15.314045
m3-220,0x0000001db5,0x0000001db4,9,2018-02-13 12:35:17.148801
m3-213,0x0000002031,0x0000001fda,10,2018-02-13 12:35:26.677811
m3-232,0x0000002056,0x0000001ec3,9,2018-02-13 12:35:27.224486
m3-224,0x00000020f8,0x000000204e,10,2018-02-13 12:35:29.663801
m3-236,0x000000211d,0x000000209e,9,2018-02-13 12:35:30.222968
m3-224,0x00000021bf,0x000000204e,10,2018-02-13 12:35:32.639075
m3-224,0x00000021c5,0x000000204e,10,2018-02-13 12:35:32.732623
m3-236,0x00000021e4,0x000000209e,9,2018-02-13 12:35:33.203695
m3-220,0x0000002242,0x000000222f,10,2018-02-13 12:35:34.615051
m3-225,0x00000022ab,0x0000002202,10,2018-02-13 12:35:36.187998
m3-208,0x0000002309,0x000000228b,10,2018-02-13 12:35:37.586866
m3-232,0x0000002439,0x000000230b,10,2018-02-13 12:35:42.149536
m3-213,0x00000024db,0x0000002428,11,2018-02-13 12:35:44.586364
m3-213,0x00000024e1,0x0000002428,11,2018-02-13 12:35:44.653044
m3-224,0x0000002669,0x0000002636,11,2018-02-13 12:35:50.538945
m3-236,0x000000268e,0x000000261b,10,2018-02-13 12:35:51.080704
m3-213,0x0000004050,0x0000003fab,16,2018-02-13 12:37:29.896377
m3-208,0x0000004492,0x0000004438,17,2018-02-13 12:37:46.222294
m3-213,0x00000045c1,0x00000044fd,17,2018-02-13 12:37:50.771681
m3-212,0x0000004699,0x0000004694,17,2018-02-13 12:37:53.998991
m3-209,0x0000004760,0x00000045d2,17,2018-02-13 12:37:56.983791
m3-208,0x0000004a03,0x0000004936,18,2018-02-13 12:38:07.109098
m3-213,0x0000004b32,0x0000004a76,18,2018-02-13 12:38:11.634233
m3-209,0x0000004c4b,0x0000004ba9,18,2018-02-13 12:38:15.826707
m3-212,0x0000004d12,0x0000004ce9,18,2018-02-13 12:38:18.837288
m3-208,0x0000004de6,0x0000004dde,19,2018-02-13 12:38:22.010831
m3-213,0x00000050a3,0x0000004f5e,19,2018-02-13 12:38:32.512758
m3-209,0x0000005242,0x00000051d5,19,2018-02-13 12:38:38.728145
m3-208,0x0000005290,0x00000051e2,20,2018-02-13 12:38:39.894736
m3-212,0x000000534a,0x0000005341,19,2018-02-13 12:38:42.687293
m3-213,0x0000005614,0x0000005543,20,2018-02-13 12:38:53.381842
m3-209,0x0000005625,0x00000055b3,20,2018-02-13 12:38:53.645726
m3-212,0x000000572d,0x0000005722,20,2018-02-13 12:38:57.59266
m3-208,0x0000005801,0x000000575b,21,2018-02-13 12:39:00.770257
m3-213,0x00000059f7,0x0000005952,21,2018-02-13 12:39:08.29091
m3-225,0x0000005b10,0x00000059e8,21,2018-02-13 12:39:12.492666
m3-209,0x0000005b96,0x0000005a38,21,2018-02-13 12:39:14.521111
m3-212,0x0000005d24,0x0000005ce0,21,2018-02-13 12:39:20.479296
m3-208,0x0000005d72,0x0000005cd5,22,2018-02-13 12:39:21.641875
m3-213,0x0000005dda,0x0000005d9c,22,2018-02-13 12:39:23.200824
m3-225,0x0000005eb2,0x0000005e0a,22,2018-02-13 12:39:26.435668
m3-209,0x0000005f79,0x0000005ee0,22,2018-02-13 12:39:29.411753
m3-212,0x0000006107,0x00000060c4,22,2018-02-13 12:39:35.380102
m3-208,0x0000006155,0x000000611f,23,2018-02-13 12:39:36.553938
m3-213,0x0000006412,0x00000063be,23,2018-02-13 12:39:47.062414
m3-209,0x0000006423,0x0000006355,23,2018-02-13 12:39:47.307314
m3-221,0x000000644e,0x0000006374,24,2018-02-13 12:39:48.003673
m3-221,0x00000064d9,0x0000006374,24,2018-02-13 12:39:50.040288
m3-225,0x00000064ea,0x00000063e5,23,2018-02-13 12:39:50.306304
m3-212,0x00000065b1,0x0000006541,23,2018-02-13 12:39:53.27664
m3-240,0x00000065e8,0x0000006518,23,2018-02-13 12:39:54.104706
m3-208,0x00000066c6,0x00000066ad,24,2018-02-13 12:39:57.424278
m3-212,0x0000006994,0x0000006965,24,2018-02-13 12:40:08.19261
m3-213,0x00000069bf,0x0000006992,24,2018-02-13 12:40:08.869427
m3-209,0x00000069cb,0x00000068e5,24,2018-02-13 12:40:09.012435
m3-221,0x0000006a4a,0x000000690c,25,2018-02-13 12:40:10.924785
m3-225,0x0000006a5b,0x000000697e,24,2018-02-13 12:40:11.165577
m3-208,0x0000006b70,0x0000006b66,25,2018-02-13 12:40:15.313746
m3-212,0x0000006d77,0x0000006d61,25,2018-02-13 12:40:23.088744
m3-240,0x0000006dae,0x000000695e,24,2018-02-13 12:40:23.913959
m3-228,0x0000006e3e,0x0000006dc1,25,2018-02-13 12:40:26.066956
m3-209,0x0000006e7f,0x0000006da7,25,2018-02-13 12:40:27.154157
m3-216,0x0000006e8b,0x0000006e0a,26,2018-02-13 12:40:27.251051
m3-240,0x0000006ee8,0x0000006e63,25,2018-02-13 12:40:28.623387
m3-221,0x0000006ef4,0x0000006e86,26,2018-02-13 12:40:28.806283
m3-213,0x0000006fbb,0x0000006f81,25,2018-02-13 12:40:31.789326
m3-225,0x0000007076,0x0000006fb9,25,2018-02-13 12:40:34.574837
m3-217,0x0000007132,0x000000709b,25,2018-02-13 12:40:37.4029
m3-208,0x000000726f,0x00000071b3,26,2018-02-13 12:40:42.149434
m3-212,0x00000072cb,0x00000072a3,26,2018-02-13 12:40:43.522917
m3-228,0x00000072e8,0x00000071f1,26,2018-02-13 12:40:43.957603
m3-209,0x00000073af,0x00000072d3,26,2018-02-13 12:40:46.953173
m3-213,0x00000073da,0x00000073a9,26,2018-02-13 12:40:47.622232
m3-225,0x0000007459,0x000000739c,26,2018-02-13 12:40:49.484706
m3-221,0x00000074a1,0x000000737e,27,2018-02-13 12:40:50.608676
m3-216,0x0000007651,0x0000007309,27,2018-02-13 12:40:57.051742
m3-228,0x00000076ae,0x000000765b,27,2018-02-13 12:40:58.445257
m3-212,0x0000007717,0x000000770d,27,2018-02-13 12:41:00.045535
m3-208,0x0000007719,0x00000076e3,27,2018-02-13 12:41:00.125386
m3-217,0x000000776a,0x00000076d9,26,2018-02-13 12:41:01.280555
m3-240,0x0000007775,0x000000746d,26,2018-02-13 12:41:01.41938
m3-224,0x00000077b2,0x000000775b,27,2018-02-13 12:41:02.33807
m3-216,0x00000077df,0x000000771a,28,2018-02-13 12:41:03.012861
m3-209,0x000000790a,0x00000078e1,27,2018-02-13 12:41:07.480384
m3-225,0x00000079ca,0x000000791a,27,2018-02-13 12:41:10.360066
m3-240,0x00000079d1,0x000000797b,27,2018-02-13 12:41:10.478845
m3-213,0x0000007a12,0x0000007917,27,2018-02-13 12:41:11.493955
m3-221,0x0000007a9d,0x000000786f,28,2018-02-13 12:41:13.535152
m3-217,0x0000007b4d,0x0000007ae1,27,2018-02-13 12:41:16.213857
m3-228,0x0000007b58,0x0000007ab7,28,2018-02-13 12:41:16.346443
m3-212,0x0000007b75,0x0000007b6b,28,2018-02-13 12:41:16.759326
m3-208,0x0000007c8a,0x0000007be7,28,2018-02-13 12:41:20.907066
m3-216,0x0000007d50,0x0000007cb1,29,2018-02-13 12:41:23.886845
m3-224,0x0000007de6,0x0000007cb2,28,2018-02-13 12:41:26.11897
m3-213,0x0000007e80,0x0000007e2d,28,2018-02-13 12:41:28.434388
m3-225,0x0000007f3b,0x0000007e86,28,2018-02-13 12:41:31.238954
m3-209,0x0000007f42,0x0000007f10,28,2018-02-13 12:41:31.335359
m3-221,0x0000007f47,0x0000007e72,29,2018-02-13 12:41:31.446754
m3-240,0x0000007f58,0x0000007d87,28,2018-02-13 12:41:31.671673
m3-217,0x0000007ff7,0x0000007f86,28,2018-02-13 12:41:34.055008
m3-228,0x00000080c9,0x0000008081,29,2018-02-13 12:41:37.204852
m3-224,0x0000008102,0x00000080e5,29,2018-02-13 12:41:38.040721
m3-208,0x0000008134,0x00000080af,29,2018-02-13 12:41:38.800482
m3-212,0x0000008190,0x0000008187,29,2018-02-13 12:41:40.177717
m3-213,0x0000008366,0x000000831a,29,2018-02-13 12:41:47.270794
m3-240,0x00000083e5,0x00000082a7,29,2018-02-13 12:41:49.126224
m3-225,0x00000084b3,0x0000008428,29,2018-02-13 12:41:52.19694
m3-221,0x00000084b8,0x0000008349,30,2018-02-13 12:41:52.287269
m3-209,0x00000084c9,0x00000083ed,29,2018-02-13 12:41:52.548941
m3-245,0x0000008573,0x00000083f2,30,2018-02-13 12:41:55.09838
m3-228,0x000000857a,0x0000008524,30,2018-02-13 12:41:55.183121
m3-217,0x000000862f,0x00000085c4,29,2018-02-13 12:41:57.903984
m3-224,0x000000868e,0x0000008662,30,2018-02-13 12:41:59.337765
m3-208,0x00000086a5,0x00000085eb,30,2018-02-13 12:41:59.671269
m3-212,0x000000871e,0x0000008709,30,2018-02-13 12:42:01.494249
m3-213,0x00000087d4,0x00000087b2,30,2018-02-13 12:42:04.218644
m3-209,0x0000008896,0x0000008854,30,2018-02-13 12:42:07.114623
m3-240,0x0000008956,0x0000008782,30,2018-02-13 12:42:10.005316
m3-225,0x0000008a1d,0x0000008929,30,2018-02-13 12:42:12.977503
m3-221,0x0000008a29,0x000000896b,31,2018-02-13 12:42:13.160591
m3-245,0x0000008aeb,0x00000088e9,31,2018-02-13 12:42:16.064174
m3-217,0x0000008ba0,0x0000008af2,30,2018-02-13 12:42:18.780221
m3-228,0x0000008bab,0x0000008abe,31,2018-02-13 12:42:18.943647
m3-212,0x0000008be8,0x0000008be5,31,2018-02-13 12:42:19.865287
m3-217,0x0000008c67,0x0000008af2,30,2018-02-13 12:42:21.760639
m3-224,0x0000008cc6,0x0000008ac0,31,2018-02-13 12:42:23.178038
m3-208,0x0000008cdd,0x0000008c3a,31,2018-02-13 12:42:23.531312
m3-209,0x0000008d40,0x0000008cf4,31,2018-02-13 12:42:25.000395
m3-213,0x0000008d45,0x0000008d2c,31,2018-02-13 12:42:25.080797
m3-221,0x0000008fd6,0x0000008f05,32,2018-02-13 12:42:34.987251
m3-217,0x000000904a,0x0000008fd9,31,2018-02-13 12:42:36.671854
m3-225,0x0000009055,0x0000008f07,31,2018-02-13 12:42:36.841589
m3-240,0x000000905c,0x0000008d8e,31,2018-02-13 12:42:36.931635
m3-212,0x0000009092,0x000000908a,32,2018-02-13 12:42:37.738941
m3-224,0x00000090a9,0x000000906d,32,2018-02-13 12:42:38.089064
m3-228,0x000000911c,0x0000009089,32,2018-02-13 12:42:39.817731
m3-208,0x0000009187,0x000000914b,32,2018-02-13 12:42:41.411364
m3-245,0x0000009371,0x0000008da1,32,2018-02-13 12:42:48.767604
m3-213,0x000000937d,0x0000009343,32,2018-02-13 12:42:48.939432
m3-209,0x000000938e,0x0000009337,32,2018-02-13 12:42:49.192572
m3-245,0x00000093aa,0x00000091a9,33,2018-02-13 12:42:49.618306
m3-244,0x00000093ae,0x0000009250,31,2018-02-13 12:42:49.694292
m3-221,0x00000093b9,0x00000092ff,33,2018-02-13 12:42:49.941535
m3-225,0x0000009438,0x0000009307,32,2018-02-13 12:42:51.737123
m3-233,0x000000943f,0x00000092ac,34,2018-02-13 12:42:51.855293
m3-240,0x0000009455,0x00000093e9,32,2018-02-13 12:42:52.188262
m3-240,0x0000009471,0x00000093e9,32,2018-02-13 12:42:52.59677
m3-241,0x0000009475,0x00000092d7,32,2018-02-13 12:42:52.663165
m3-232,0x00000094f8,0x0000009398,31,2018-02-13 12:42:54.620016
m3-220,0x0000009506,0x00000092c4,33,2018-02-13 12:42:54.830668
m3-252,0x000000950b,0x00000092fd,34,2018-02-13 12:42:54.91728
m3-228,0x000000951c,0x00000094d2,33,2018-02-13 12:42:55.153165
m3-212,0x0000009553,0x000000953d,33,2018-02-13 12:42:55.985154
m3-217,0x00000095bb,0x000000954a,32,2018-02-13 12:42:57.536769
m3-208,0x0000009631,0x00000095fc,33,2018-02-13 12:42:59.339165
m3-236,0x000000968d,0x00000095ad,32,2018-02-13 12:43:00.690629
m3-245,0x0000009694,0x00000095b3,34,2018-02-13 12:43:00.783793
m3-224,0x00000096c6,0x00000096b4,33,2018-02-13 12:43:01.54585
m3-216,0x00000096f8,0x000000961f,34,2018-02-13 12:43:02.288161
m3-225,0x000000981b,0x00000097ab,33,2018-02-13 12:43:06.657249
m3-213,0x00000098db,0x00000098c2,33,2018-02-13 12:43:09.526537
m3-209,0x00000098e9,0x0000009820,33,2018-02-13 12:43:09.731143
m3-232,0x00000098ee,0x00000097a5,32,2018-02-13 12:43:09.80749
m3-221,0x000000992a,0x00000097dd,34,2018-02-13 12:43:10.753443
m3-220,0x00000099a9,0x0000009872,34,2018-02-13 12:43:12.651312
m3-240,0x00000099b0,0x000000994e,33,2018-02-13 12:43:12.71704
m3-244,0x00000099c6,0x00000097be,32,2018-02-13 12:43:13.051308
m3-208,0x0000009a1f,0x0000009a1e,34,2018-02-13 12:43:14.377936
m3-236,0x0000009a70,0x0000009997,33,2018-02-13 12:43:15.597557
m3-220,0x0000009a77,0x0000009872,34,2018-02-13 12:43:15.688479
m3-228,0x0000009a8d,0x00000099b3,34,2018-02-13 12:43:16.030265
m3-245,0x0000009aa9,0x00000099f6,35,2018-02-13 12:43:16.484375
m3-233,0x0000009aad,0x00000098d5,35,2018-02-13 12:43:16.563511
m3-217,0x0000009b2c,0x0000009b27,33,2018-02-13 12:43:18.421107
m3-212,0x0000009b37,0x0000009b1c,34,2018-02-13 12:43:18.574691
m3-216,0x0000009ba2,0x0000009a53,35,2018-02-13 12:43:20.34122
m3-224,0x0000009c37,0x0000009b5e,34,2018-02-13 12:43:22.416678
m3-232,0x0000009cbe,0x0000009bf4,33,2018-02-13 12:43:24.448107
m3-209,0x0000009ccc,0x0000009c4b,34,2018-02-13 12:43:24.634601
m3-221,0x0000009cd1,0x0000009bc2,35,2018-02-13 12:43:24.730179
m3-213,0x0000009d85,0x0000009d3a,34,2018-02-13 12:43:27.421141
m3-228,0x0000009e53,0x0000009dc5,35,2018-02-13 12:43:30.513396
m3-225,0x0000009f1a,0x0000009db2,34,2018-02-13 12:43:33.488855
m3-236,0x0000009f21,0x0000009eae,34,2018-02-13 12:43:33.582333
m3-241,0x0000009f37,0x0000009e16,34,2018-02-13 12:43:33.927407
m3-240,0x0000009f53,0x0000009eea,34,2018-02-13 12:43:34.333523
m3-240,0x0000009f57,0x0000009eea,34,2018-02-13 12:43:34.39993
m3-220,0x0000009f6e,0x0000009d19,35,2018-02-13 12:43:34.751267
m3-244,0x0000009f75,0x0000009d28,33,2018-02-13 12:43:34.840723
m3-208,0x0000009f85,0x0000009f46,35,2018-02-13 12:43:35.085648
m3-229,0x0000009fe1,0x0000009e14,34,2018-02-13 12:43:36.472051
m3-217,0x000000a09d,0x000000a010,34,2018-02-13 12:43:39.285431
m3-232,0x000000a0a1,0x0000009fd6,34,2018-02-13 12:43:39.366583
m3-245,0x000000a0e1,0x0000009fee,36,2018-02-13 12:43:40.314245
m3-216,0x000000a113,0x000000a00f,36,2018-02-13 12:43:41.06051
m3-232,0x000000a168,0x0000009fd6,34,2018-02-13 12:43:42.337997
m3-212,0x000000a16f,0x000000a15a,35,2018-02-13 12:43:42.430409
m3-209,0x000000a176,0x000000a16c,35,2018-02-13 12:43:42.532249
m3-221,0x000000a17b,0x000000a10f,36,2018-02-13 12:43:42.65263
m3-224,0x000000a1a8,0x000000a070,35,2018-02-13 12:43:43.294238
m3-213,0x000000a2f6,0x000000a2ad,35,2018-02-13 12:43:48.295021
m3-252,0x000000a2fd,0x000000a219,37,2018-02-13 12:43:48.405379
m3-244,0x000000a304,0x000000a1f2,34,2018-02-13 12:43:48.507502
m3-208,0x000000a368,0x000000a348,36,2018-02-13 12:43:50.135044
m3-241,0x000000a3cb,0x000000a281,35,2018-02-13 12:43:51.475396
m3-220,0x000000a3e1,0x000000a219,36,2018-02-13 12:43:51.813982
m3-225,0x000000a3fd,0x000000a252,35,2018-02-13 12:43:52.224813
m3-229,0x000000a48b,0x000000a214,35,2018-02-13 12:43:54.362726
m3-236,0x000000a492,0x000000a3c4,35,2018-02-13 12:43:54.46718
m3-240,0x000000a4a8,0x000000a3bb,35,2018-02-13 12:43:54.795318
m3-228,0x000000a4c4,0x000000a3e6,36,2018-02-13 12:43:55.214177
m3-217,0x000000a547,0x000000a523,35,2018-02-13 12:43:57.179261
m3-224,0x000000a652,0x000000a5a9,36,2018-02-13 12:44:01.180072
m3-212,0x000000a656,0x000000a652,36,2018-02-13 12:44:01.264968
m3-216,0x000000a684,0x000000a591,37,2018-02-13 12:44:01.935354
m3-213,0x000000a6d9,0x000000a6cc,36,2018-02-13 12:44:03.201591
m3-225,0x000000a6e0,0x000000a66b,36,2018-02-13 12:44:03.306778
m3-209,0x000000a6e7,0x000000a5a3,36,2018-02-13 12:44:03.406068
m3-232,0x000000a6ec,0x000000a53c,35,2018-02-13 12:44:03.490047
m3-245,0x000000a719,0x000000a629,37,2018-02-13 12:44:04.161053
m3-229,0x000000a86e,0x000000a716,36,2018-02-13 12:44:09.267385
m3-252,0x000000a88b,0x000000a73f,38,2018-02-13 12:44:09.70137
m3-240,0x000000a8a7,0x000000a7e2,36,2018-02-13 12:44:10.125351
m3-244,0x000000a8ab,0x000000a65b,35,2018-02-13 12:44:10.183903
m3-236,0x000000a8c2,0x000000a7f6,36,2018-02-13 12:44:10.525173
m3-208,0x000000a8d9,0x000000a83d,37,2018-02-13 12:44:10.886952
m3-221,0x000000a92e,0x000000a72c,37,2018-02-13 12:44:12.143732
m3-220,0x000000a935,0x000000a735,37,2018-02-13 12:44:12.251399
m3-241,0x000000a93c,0x000000a8c5,36,2018-02-13 12:44:12.347786
m3-228,0x000000aa03,0x000000a92e,37,2018-02-13 12:44:15.324364
m3-228,0x000000aa06,0x000000a92e,37,2018-02-13 12:44:15.400487
m3-209,0x000000aa19,0x000000a98a,37,2018-02-13 12:44:15.659365
m3-216,0x000000aa67,0x000000a9a6,38,2018-02-13 12:44:16.83247
m3-217,0x000000aab8,0x000000a9e7,36,2018-02-13 12:44:18.050179
m3-245,0x000000aafc,0x000000aa84,38,2018-02-13 12:44:19.07563
m3-224,0x000000ab00,0x000000aa69,37,2018-02-13 12:44:19.150832
m3-213,0x000000ab11,0x000000aafc,37,2018-02-13 12:44:19.373163
m3-217,0x000000ab7f,0x000000a9e7,36,2018-02-13 12:44:21.040843
m3-232,0x000000ab83,0x000000aa84,36,2018-02-13 12:44:21.106688
m3-225,0x000000ab8a,0x000000ab07,37,2018-02-13 12:44:21.201915
m3-212,0x000000ac51,0x000000ac05,37,2018-02-13 12:44:24.17919
m3-240,0x000000ac8a,0x000000ac51,37,2018-02-13 12:44:25.030463
m3-229,0x000000acc8,0x000000ac3c,37,2018-02-13 12:44:25.966335
m3-244,0x000000ad18,0x000000abbc,36,2018-02-13 12:44:27.15703
m3-208,0x000000ad83,0x000000ad2e,38,2018-02-13 12:44:28.757061
m3-252,0x000000ade6,0x000000ac1e,39,2018-02-13 12:44:30.239168
m3-228,0x000000ade9,0x000000ad99,38,2018-02-13 12:44:30.307044
m3-217,0x000000ae9b,0x000000ae20,37,2018-02-13 12:44:32.950651
m3-221,0x000000ae9f,0x000000ad0f,38,2018-02-13 12:44:33.046773
m3-241,0x000000aea6,0x000000ad09,37,2018-02-13 12:44:33.124127
m3-213,0x000000aeee,0x000000aed6,38,2018-02-13 12:44:34.245615
m3-232,0x000000af66,0x000000aed1,37,2018-02-13 12:44:35.999685
m3-241,0x000000af6d,0x000000ad09,37,2018-02-13 12:44:36.120411
m3-212,0x000000b03b,0x000000b012,38,2018-02-13 12:44:39.184316
m3-253,0x000000b03e,0x000000ae5e,38,2018-02-13 12:44:39.253711
m3-225,0x000000b051,0x000000b016,38,2018-02-13 12:44:39.524975
m3-209,0x000000b06d,0x000000afab,38,2018-02-13 12:44:39.941671
m3-237,0x000000b088,0x000000af8b,38,2018-02-13 12:44:40.350216
m3-220,0x000000b08f,0x000000af94,39,2018-02-13 12:44:40.450431
m3-216,0x000000b09f,0x000000afe8,39,2018-02-13 12:44:40.687073
m3-245,0x000000b0fb,0x000000aff4,39,2018-02-13 12:44:42.066917
m3-224,0x000000b134,0x000000b087,38,2018-02-13 12:44:42.930171
m3-221,0x000000b1bb,0x000000b150,39,2018-02-13 12:44:44.940744
m3-236,0x000000b216,0x000000b1c8,38,2018-02-13 12:44:46.306849
m3-208,0x000000b22d,0x000000b194,39,2018-02-13 12:44:46.668453
m3-240,0x000000b289,0x000000b1c9,38,2018-02-13 12:44:48.036257
m3-228,0x000000b290,0x000000b212,39,2018-02-13 12:44:48.1418
m3-252,0x000000b293,0x000000b11f,40,2018-02-13 12:44:48.202594
m3-244,0x000000b29e,0x000000b11d,37,2018-02-13 12:44:48.339679
m3-229,0x000000b2dd,0x000000b20d,38,2018-02-13 12:44:49.287009
m3-217,0x000000b345,0x000000b32e,38,2018-02-13 12:44:50.854907
m3-241,0x000000b350,0x000000b259,38,2018-02-13 12:44:51.014561
m3-220,0x000000b417,0x000000b3ef,40,2018-02-13 12:44:53.985724
m3-213,0x000000b423,0x000000b412,39,2018-02-13 12:44:54.174495
m3-220,0x000000b46b,0x000000b3ef,40,2018-02-13 12:44:55.241686
m3-237,0x000000b472,0x000000b371,39,2018-02-13 12:44:55.35405
m3-237,0x000000b475,0x000000b371,39,2018-02-13 12:44:55.432546
m3-224,0x000000b517,0x000000b4ef,39,2018-02-13 12:44:57.840284
m3-232,0x000000b59e,0x000000b4be,38,2018-02-13 12:44:59.861179
m3-224,0x000000b5e2,0x000000b4ef,39,2018-02-13 12:45:00.872189
m3-225,0x000000b61c,0x000000b5fd,39,2018-02-13 12:45:01.742864
m3-212,0x000000b66c,0x000000b665,39,2018-02-13 12:45:02.936767
m3-244,0x000000b673,0x000000b593,38,2018-02-13 12:45:03.030601
m3-209,0x000000b676,0x000000b5cd,39,2018-02-13 12:45:03.10207
m3-240,0x000000b6a5,0x000000b632,39,2018-02-13 12:45:03.812193
m3-216,0x000000b6d7,0x000000b595,40,2018-02-13 12:45:04.538193
m3-245,0x000000b733,0x000000b5d9,40,2018-02-13 12:45:05.921825
m3-244,0x000000b73a,0x000000b593,38,2018-02-13 12:45:06.050337
m3-253,0x000000b76c,0x000000b4a9,39,2018-02-13 12:45:06.767174
m3-229,0x000000b78e,0x000000b67c,39,2018-02-13 12:45:07.284203
m3-208,0x000000b79e,0x000000b77e,40,2018-02-13 12:45:07.515546
m3-217,0x000000b7ef,0x000000b7be,39,2018-02-13 12:45:08.739631
m3-221,0x000000b7f3,0x000000b77a,40,2018-02-13 12:45:08.811049
m3-236,0x000000b7fa,0x000000b746,39,2018-02-13 12:45:08.903824
m3-228,0x000000b8c1,0x000000b85e,40,2018-02-13 12:45:11.891192
m3-241,0x000000b8c8,0x000000b6fc,39,2018-02-13 12:45:11.978966
m3-241,0x000000b988,0x000000b6fc,39,2018-02-13 12:45:14.858273
m3-252,0x000000b98f,0x000000b70b,41,2018-02-13 12:45:14.966418
m3-220,0x000000b99d,0x000000b95f,41,2018-02-13 12:45:15.170559
m3-237,0x000000b9dc,0x000000b938,40,2018-02-13 12:45:16.116304
m3-225,0x000000ba4f,0x000000ba17,40,2018-02-13 12:45:17.846897
m3-212,0x000000ba56,0x000000ba54,40,2018-02-13 12:45:17.966605
m3-209,0x000000ba59,0x000000ba0b,40,2018-02-13 12:45:18.053845
m3-245,0x000000ba88,0x000000ba3e,41,2018-02-13 12:45:18.712552
m3-224,0x000000ba8c,0x000000ba4e,40,2018-02-13 12:45:18.799883
m3-213,0x000000ba97,0x000000ba61,40,2018-02-13 12:45:18.978009
m3-237,0x000000baa3,0x000000b938,40,2018-02-13 12:45:19.09962
m3-216,0x000000baba,0x000000b9d9,41,2018-02-13 12:45:19.446409
m3-217,0x000000bbd2,0x000000bbc3,40,2018-02-13 12:45:23.648339
m3-232,0x000000bbd6,0x000000bb15,39,2018-02-13 12:45:23.725701
m3-236,0x000000bbdd,0x000000bb9f,40,2018-02-13 12:45:23.806673
m3-244,0x000000bbe4,0x000000ba8c,39,2018-02-13 12:45:23.907081
m3-232,0x000000bbe9,0x000000bb15,39,2018-02-13 12:45:23.993947
m3-240,0x000000bc62,0x000000bbf0,40,2018-02-13 12:45:25.79102
m3-241,0x000000bcab,0x000000bb31,40,2018-02-13 12:45:26.911914
m3-228,0x000000bcae,0x000000bc85,41,2018-02-13 12:45:26.998874
m3-229,0x000000bcf8,0x000000bc06,40,2018-02-13 12:45:28.053964
m3-253,0x000000bd29,0x000000b970,40,2018-02-13 12:45:28.793477
m3-221,0x000000bd64,0x000000bc9a,41,2018-02-13 12:45:29.678054
m3-253,0x000000bd6b,0x000000b970,40,2018-02-13 12:45:29.783412
m3-237,0x000000bdbf,0x000000bd2e,41,2018-02-13 12:45:31.042815
m3-208,0x000000bdd6,0x000000bd46,41,2018-02-13 12:45:31.376131
m3-248,0x000000be2b,0x000000bc08,39,2018-02-13 12:45:32.65173
m3-209,0x000000be39,0x000000bdf4,41,2018-02-13 12:45:32.847831
m3-225,0x000000be8d,0x000000be89,41,2018-02-13 12:45:34.110731
m3-220,0x000000bef9,0x000000bd9b,42,2018-02-13 12:45:35.730492
m3-253,0x000000bf32,0x000000be36,41,2018-02-13 12:45:36.583139
m3-212,0x000000bf4d,0x000000bf3d,41,2018-02-13 12:45:37.000724
m3-224,0x000000bff9,0x000000bf46,41,2018-02-13 12:45:39.590554
m3-245,0x000000c045,0x000000bf58,42,2018-02-13 12:45:40.717608
m3-232,0x000000c080,0x000000bffd,40,2018-02-13 12:45:41.59879
m3-236,0x000000c087,0x000000c062,41,2018-02-13 12:45:41.704414
m3-213,0x000000c093,0x000000c083,41,2018-02-13 12:45:41.882464
m3-245,0x000000c0c0,0x000000bf58,42,2018-02-13 12:45:42.54637
m3-244,0x000000c0db,0x000000bf3a,40,2018-02-13 12:45:42.963904
m3-217,0x000000c143,0x000000c105,41,2018-02-13 12:45:44.514818
m3-228,0x000000c16b,0x000000c14f,42,2018-02-13 12:45:45.104647
m3-241,0x000000c187,0x000000c0b7,41,2018-02-13 12:45:45.539084
m3-216,0x000000c1b9,0x000000bfd8,42,2018-02-13 12:45:46.285814
m3-217,0x000000c20a,0x000000c105,41,2018-02-13 12:45:47.499925
m3-221,0x000000c20e,0x000000c0fd,42,2018-02-13 12:45:47.607105
m3-252,0x000000c252,0x000000c196,43,2018-02-13 12:45:48.568775
m3-229,0x000000c269,0x000000c206,41,2018-02-13 12:45:48.916304
m3-248,0x000000c2d5,0x000000c16c,40,2018-02-13 12:45:50.548213
m3-240,0x000000c2dc,0x000000c23a,41,2018-02-13 12:45:50.641372
m3-225,0x000000c2e3,0x000000c2b1,42,2018-02-13 12:45:50.773641
m3-240,0x000000c315,0x000000c23a,41,2018-02-13 12:45:51.499654
m3-229,0x000000c330,0x000000c206,41,2018-02-13 12:45:51.905286
m3-220,0x000000c337,0x000000c204,43,2018-02-13 12:45:51.99726
m3-237,0x000000c353,0x000000c238,42,2018-02-13 12:45:52.42354
