sender,asn,asn_in,seqnum,time
m3-241,0x00000899f7,0x0000089919,439,2018-02-13 14:54:09.524992
m3-241,0x00000899fb,0x0000089919,439,2018-02-13 14:54:09.610862
m3-249,0x00000899fc,0x00000898d3,434,2018-02-13 14:54:09.708561
m3-229,0x0000089a02,0x0000089964,437,2018-02-13 14:54:09.798712
m3-244,0x0000089a17,0x0000089a02,438,2018-02-13 14:54:10.007396
m3-224,0x0000089a4b,0x0000089a2b,441,2018-02-13 14:54:10.779868
m3-208,0x0000089a61,0x00000899aa,444,2018-02-13 14:54:11.111406
m3-220,0x0000089a63,0x0000089a2a,441,2018-02-13 14:54:11.181825
m3-236,0x0000089a80,0x0000089a10,443,2018-02-13 14:54:11.577326
m3-233,0x0000089aa4,0x0000089951,439,2018-02-13 14:54:12.125059
m3-225,0x0000089abe,0x0000089ab4,443,2018-02-13 14:54:12.512309
m3-225,0x0000089ac2,0x0000089ab4,443,2018-02-13 14:54:12.587536
m3-209,0x0000089ac3,0x0000089a02,443,2018-02-13 14:54:12.652825
m3-237,0x0000089b12,0x0000089ad4,441,2018-02-13 14:54:13.756523
m3-217,0x0000089b79,0x0000089967,442,2018-02-13 14:54:15.347254
m3-232,0x0000089c32,0x0000089c17,436,2018-02-13 14:54:18.084991
m3-253,0x0000089cd5,0x0000089c75,441,2018-02-13 14:54:20.536097
m3-248,0x0000089cf9,0x0000089c1f,438,2018-02-13 14:54:21.068546
m3-221,0x0000089d02,0x0000089c96,443,2018-02-13 14:54:21.239074
m3-228,0x0000089d17,0x0000089c9d,440,2018-02-13 14:54:21.524877
m3-245,0x0000089d18,0x0000089c8a,441,2018-02-13 14:54:21.576906
m3-245,0x0000089d1e,0x0000089c8a,441,2018-02-13 14:54:21.64413
m3-253,0x0000089d33,0x0000089c75,441,2018-02-13 14:54:21.935834
m3-253,0x0000089d35,0x0000089c75,441,2018-02-13 14:54:22.006475
m3-213,0x0000089d58,0x0000089d34,434,2018-02-13 14:54:22.482129
m3-213,0x0000089dc9,0x0000089d34,434,2018-02-13 14:54:24.195878
m3-217,0x0000089dce,0x0000089d91,443,2018-02-13 14:54:24.295758
m3-213,0x0000089e1f,0x0000089d34,434,2018-02-13 14:54:25.475018
m3-208,0x0000089e27,0x0000089dfe,445,2018-02-13 14:54:25.604258
m3-252,0x0000089e2e,0x0000089d63,437,2018-02-13 14:54:25.731668
m3-241,0x0000089ea1,0x0000089e25,440,2018-02-13 14:54:27.409587
m3-249,0x0000089ea5,0x0000089d76,435,2018-02-13 14:54:27.533124
m3-236,0x0000089ea6,0x0000089e87,444,2018-02-13 14:54:27.659265
m3-229,0x0000089eac,0x0000089e35,438,2018-02-13 14:54:27.750754
m3-209,0x0000089ec1,0x0000089de1,444,2018-02-13 14:54:27.888736
m3-216,0x0000089eee,0x0000089daa,441,2018-02-13 14:54:28.583388
m3-212,0x0000089f2a,0x0000089f06,445,2018-02-13 14:54:29.475798
m3-244,0x0000089f31,0x0000089ef8,439,2018-02-13 14:54:29.574689
m3-225,0x0000089f33,0x0000089f10,444,2018-02-13 14:54:29.644323
m3-233,0x0000089f4e,0x0000089e0d,440,2018-02-13 14:54:30.007266
m3-233,0x0000089f52,0x0000089e0d,440,2018-02-13 14:54:30.076877
m3-232,0x000008a015,0x0000089ff5,437,2018-02-13 14:54:32.998817
m3-220,0x000008a09b,0x000008a034,442,2018-02-13 14:54:35.002748
m3-224,0x000008a12e,0x0000089fce,442,2018-02-13 14:54:37.206203
m3-237,0x000008a14a,0x000008a098,442,2018-02-13 14:54:37.612676
m3-253,0x000008a17f,0x000008a0dc,442,2018-02-13 14:54:38.421317
m3-245,0x000008a1bd,0x000008a184,442,2018-02-13 14:54:39.341686
m3-252,0x000008a1ee,0x000008a1ce,438,2018-02-13 14:54:40.080846
m3-252,0x000008a211,0x000008a1ce,438,2018-02-13 14:54:40.599336
m3-252,0x000008a246,0x000008a1ce,438,2018-02-13 14:54:41.397989
m3-248,0x000008a251,0x000008a1e1,439,2018-02-13 14:54:41.570262
m3-248,0x000008a26a,0x000008a1e1,439,2018-02-13 14:54:41.947
m3-213,0x000008a273,0x000008a239,435,2018-02-13 14:54:42.07589
m3-236,0x000008a284,0x000008a268,445,2018-02-13 14:54:42.321892
m3-228,0x000008a2a4,0x000008a22c,441,2018-02-13 14:54:42.802872
m3-228,0x000008a2b5,0x000008a22c,441,2018-02-13 14:54:43.059415
m3-221,0x000008a2c9,0x000008a1c5,444,2018-02-13 14:54:43.358543
m3-216,0x000008a2d1,0x000008a201,442,2018-02-13 14:54:43.48439
m3-225,0x000008a30d,0x000008a302,445,2018-02-13 14:54:44.383165
m3-233,0x000008a331,0x000008a1f2,441,2018-02-13 14:54:44.917259
m3-209,0x000008a34f,0x000008a2c5,445,2018-02-13 14:54:45.381606
m3-217,0x000008a406,0x000008a367,444,2018-02-13 14:54:48.146501
m3-249,0x000008a416,0x000008a2ed,436,2018-02-13 14:54:48.385703
m3-229,0x000008a432,0x000008a40c,439,2018-02-13 14:54:48.776036
m3-208,0x000008a45f,0x000008a40a,446,2018-02-13 14:54:49.455322
m3-244,0x000008a49b,0x000008a432,440,2018-02-13 14:54:50.351013
m3-241,0x000008a4d9,0x000008a349,441,2018-02-13 14:54:51.270212
m3-212,0x000008a4f9,0x000008a4e1,446,2018-02-13 14:54:51.748183
m3-224,0x000008a511,0x000008a46e,443,2018-02-13 14:54:52.116292
m3-220,0x000008a60c,0x000008a606,443,2018-02-13 14:54:55.895263
m3-232,0x000008a64d,0x000008a5a1,438,2018-02-13 14:54:56.842687
m3-221,0x000008a656,0x000008a5b7,445,2018-02-13 14:54:56.989294
m3-237,0x000008a6bb,0x000008a637,443,2018-02-13 14:54:58.485428
m3-237,0x000008a6f0,0x000008a637,443,2018-02-13 14:54:59.287889
m3-213,0x000008a71d,0x000008a6f9,436,2018-02-13 14:54:59.9743
m3-228,0x000008a72e,0x000008a6f4,442,2018-02-13 14:55:00.236595
m3-228,0x000008a732,0x000008a6f4,442,2018-02-13 14:55:00.324478
m3-236,0x000008a733,0x000008a703,446,2018-02-13 14:55:00.420859
m3-209,0x000008a739,0x000008a6f3,446,2018-02-13 14:55:00.497811
m3-252,0x000008a75f,0x000008a68f,439,2018-02-13 14:55:00.943786
m3-221,0x000008a773,0x000008a5b7,445,2018-02-13 14:55:01.260525
m3-245,0x000008a782,0x000008a6a7,443,2018-02-13 14:55:01.467763
m3-248,0x000008a7c5,0x000008a796,440,2018-02-13 14:55:02.503266
m3-241,0x000008a7f5,0x000008a74f,442,2018-02-13 14:55:03.193401
m3-253,0x000008a7f9,0x000008a61c,443,2018-02-13 14:55:03.271125
m3-229,0x000008a8c7,0x000008a819,440,2018-02-13 14:55:06.335079
m3-216,0x000008a909,0x000008a84d,443,2018-02-13 14:55:07.356903
m3-225,0x000008a945,0x000008a926,446,2018-02-13 14:55:08.232087
m3-233,0x000008a969,0x000008a822,442,2018-02-13 14:55:08.793111
m3-217,0x000008a977,0x000008a911,445,2018-02-13 14:55:09.009336
m3-224,0x000008a9bb,0x000008a98b,444,2018-02-13 14:55:10.014755
m3-208,0x000008a9d0,0x000008a966,447,2018-02-13 14:55:10.333982
m3-212,0x000008aa0c,0x000008a9f1,447,2018-02-13 14:55:11.275069
m3-244,0x000008aa13,0x000008a9ba,441,2018-02-13 14:55:11.379623
m3-240,0x000008aa4a,0x000008a939,443,2018-02-13 14:55:12.132903
m3-249,0x000008aa4e,0x000008a941,437,2018-02-13 14:55:12.212167
m3-253,0x000008aada,0x000008aa73,444,2018-02-13 14:55:14.300601
m3-221,0x000008ab00,0x000008aabc,446,2018-02-13 14:55:14.918497
m3-236,0x000008ab11,0x000008aafe,447,2018-02-13 14:55:15.135273
m3-253,0x000008ab15,0x000008aa73,444,2018-02-13 14:55:15.21696
m3-252,0x000008ab42,0x000008ab13,440,2018-02-13 14:55:15.856745
m3-232,0x000008abc2,0x000008ab69,439,2018-02-13 14:55:17.794513
m3-232,0x000008abc4,0x000008ab69,439,2018-02-13 14:55:17.910285
m3-232,0x000008abcd,0x000008ab69,439,2018-02-13 14:55:18.014465
m3-232,0x000008abd0,0x000008ab69,439,2018-02-13 14:55:18.093908
m3-232,0x000008abd1,0x000008ab69,439,2018-02-13 14:55:18.181352
m3-209,0x000008abdc,0x000008ab70,447,2018-02-13 14:55:18.25273
m3-245,0x000008abe3,0x000008ab42,444,2018-02-13 14:55:18.320891
m3-213,0x000008ac1d,0x000008ac02,437,2018-02-13 14:55:19.154661
m3-237,0x000008ac2c,0x000008abd8,444,2018-02-13 14:55:19.357868
