node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-342,m3-326,0x000000221c,1,1,1,2018-05-10 12:51:10.901479
m3-325,m3-338,0x0000002222,1,2,1,2018-05-10 12:51:10.982985
m3-326,m3-346,0x000000222f,1,3,1,2018-05-10 12:51:11.18115
m3-338,m3-334,0x00000022e3,1,2,1,2018-05-10 12:51:13.929867
m3-355,m3-346,0x00000022e3,1,1,1,2018-05-10 12:51:13.952106
m3-346,m3-358,0x00000022e3,1,3,1,2018-05-10 12:51:13.953632
m3-339,m3-314,0x00000022e3,1,1,1,2018-05-10 12:51:13.961065
m3-321,m3-326,0x00000022e3,1,1,1,2018-05-10 12:51:13.967341
m3-318,m3-326,0x00000022eb,1,2,1,2018-05-10 12:51:13.988702
m3-335,m3-334,0x00000022f6,1,3,1,2018-05-10 12:51:14.158879
m3-330,m3-343,0x00000023aa,1,1,1,2018-05-10 12:51:16.858495
m3-326,m3-335,0x0000002403,6,0,1,2018-05-10 12:51:18.19207
m3-355,m3-346,0x0000002471,1,1,1,2018-05-10 12:51:19.874526
m3-322,m3-335,0x0000002471,1,1,1,2018-05-10 12:51:19.920637
m3-346,m3-358,0x0000002471,1,3,1,2018-05-10 12:51:19.928717
m3-338,m3-334,0x0000002471,1,2,1,2018-05-10 12:51:19.941057
m3-350,m3-334,0x0000002471,1,1,1,2018-05-10 12:51:19.941161
m3-330,m3-343,0x0000002471,1,1,1,2018-05-10 12:51:19.955268
m3-326,m3-346,0x0000002484,1,3,1,2018-05-10 12:51:20.122469
m3-354,m3-335,0x0000002538,1,1,1,2018-05-10 12:51:22.837776
m3-318,m3-326,0x0000002540,1,2,1,2018-05-10 12:51:22.937911
m3-354,m3-335,0x00000025ff,1,1,1,2018-05-10 12:51:25.815737
m3-338,m3-334,0x00000025ff,1,2,1,2018-05-10 12:51:25.818429
m3-326,m3-346,0x0000002612,1,3,1,2018-05-10 12:51:26.08811
m3-305,m3-306,0x00000026c6,1,1,1,2018-05-10 12:51:28.805093
m3-335,m3-334,0x00000026d9,1,3,1,2018-05-10 12:51:29.067452
m3-330,m3-343,0x000000278d,1,1,1,2018-05-10 12:51:31.772117
m3-306,m3-318,0x000000278d,1,1,1,2018-05-10 12:51:31.778583
m3-354,m3-335,0x0000002854,1,1,1,2018-05-10 12:51:34.754583
m3-301,m3-305,0x0000002854,1,1,1,2018-05-10 12:51:34.764118
m3-305,m3-306,0x000000291b,1,1,1,2018-05-10 12:51:37.751927
m3-346,m3-358,0x000000291b,1,3,1,2018-05-10 12:51:37.754417
m3-321,m3-326,0x000000291b,1,1,1,2018-05-10 12:51:37.765225
m3-335,m3-334,0x000000292e,1,3,1,2018-05-10 12:51:38.008219
m3-343,m3-338,0x00000029e2,1,1,1,2018-05-10 12:51:40.712523
m3-322,m3-335,0x0000002aa9,1,1,1,2018-05-10 12:51:43.697443
m3-335,m3-334,0x0000002abc,1,3,1,2018-05-10 12:51:43.972634
