node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-313,m3-335,0x00000096d4,31,65535,1636,2018-05-10 20:09:52.40005
m3-317,m3-313,0x0000009cab,31,65535,1550,2018-05-10 20:10:14.656601
m3-309,m3-313,0x000000a1fb,31,65535,1550,2018-05-10 20:10:35.020263
m3-318,m3-342,0x000000a342,31,65535,1543,2018-05-10 20:10:40.069758
m3-318,m3-330,0x000000a342,31,65535,1880,2018-05-10 20:10:40.183516
m3-318,m3-309,0x000000a342,31,65535,2325,2018-05-10 20:10:40.256218
m3-318,m3-305,0x000000a342,31,65535,2618,2018-05-10 20:10:40.31986
m3-318,m3-321,0x000000a562,31,65535,1843,2018-05-10 20:10:48.005889
m3-325,m3-329,0x000000a8c8,31,65535,1627,2018-05-10 20:11:01.051473
m3-309,m3-299,0x000000a970,31,65535,2546,2018-05-10 20:11:03.793176
m3-326,m3-346,0x000000ad74,31,65535,1068,2018-05-10 20:11:18.979574
m3-301,m3-314,0x000000b32b,31,65535,1806,2018-05-10 20:11:40.938938
m3-326,m3-347,0x000000b518,31,65535,1068,2018-05-10 20:11:48.272988
m3-313,m3-346,0x000000b5ce,31,1605,1031,2018-05-10 20:11:51.298434
m3-309,m3-305,0x000000bbd4,31,65535,2190,2018-05-10 20:12:14.107467
m3-313,m3-338,0x000000bd18,31,65535,1313,2018-05-10 20:12:18.994073
m3-301,m3-310,0x000000c247,31,65535,1908,2018-05-10 20:12:39.008908
m3-301,m3-317,0x000000c247,31,65535,2069,2018-05-10 20:12:39.170592
m3-301,m3-298,0x000000c247,31,65535,2199,2018-05-10 20:12:39.280607
m3-326,m3-334,0x000000c45e,31,65535,1348,2018-05-10 20:12:46.888126
m3-317,m3-334,0x000000c572,31,7431,1355,2018-05-10 20:12:50.99231
m3-302,m3-313,0x000000ca4e,31,2188,1550,2018-05-10 20:13:09.7445
m3-317,m3-338,0x000000cedf,31,7236,1313,2018-05-10 20:13:27.150602
m3-302,m3-321,0x000000d091,31,65535,1843,2018-05-10 20:13:33.651966
m3-313,m3-309,0x000000d40e,31,65535,2709,2018-05-10 20:13:47.071298
m3-301,m3-299,0x000000d65b,31,65535,2303,2018-05-10 20:13:55.861095
m3-326,m3-329,0x000000d6a5,31,65535,1611,2018-05-10 20:13:57.035709
m3-302,m3-317,0x000000d817,31,65535,1874,2018-05-10 20:14:02.505926
m3-313,m3-306,0x000000d833,31,65535,2486,2018-05-10 20:14:02.959302
m3-306,m3-322,0x000000d8b0,31,2692,1431,2018-05-10 20:14:04.890394
m3-309,m3-322,0x000000e076,31,2028,1431,2018-05-10 20:14:34.869933
m3-306,m3-314,0x000000e164,31,65535,1724,2018-05-10 20:14:38.41305
m3-313,m3-334,0x000000f2ab,31,65535,1287,2018-05-10 20:15:44.516289
m3-301,m3-322,0x000000fd39,31,2215,1324,2018-05-10 20:16:25.075285
m3-302,m3-309,0x0000010358,31,3617,1664,2018-05-10 20:16:48.50444
m3-301,m3-299,0x0000010643,31,65535,2215,2018-05-10 20:16:59.804654
m3-317,m3-322,0x0000010687,31,65535,1324,2018-05-10 20:17:00.758564
m3-301,m3-314,0x000001076d,31,2478,1617,2018-05-10 20:17:04.080915
m3-335,m3-358,0x000001110b,31,1331,775,2018-05-10 20:17:41.302143
m3-301,m3-322,0x000001197f,31,3581,1411,2018-05-10 20:18:13.465877
m3-301,m3-309,0x0000012c08,31,65535,1722,2018-05-10 20:19:24.510508
m3-313,m3-335,0x00000458f7,31,1781,1251,2018-05-10 21:11:23.022847
m3-346,m3-351,0x000004670f,31,6656,1031,2018-05-10 21:12:18.992181
m3-334,m3-347,0x0000046c4e,31,3086,1031,2018-05-10 21:12:37.718824
m3-322,m3-335,0x0000046d14,31,5157,1251,2018-05-10 21:12:40.01954
m3-329,m3-347,0x0000047396,31,1578,1031,2018-05-10 21:13:05.012559
m3-334,m3-354,0x000004756f,31,4608,1031,2018-05-10 21:13:12.160645
m3-322,m3-354,0x0000047ec3,31,4049,1031,2018-05-10 21:13:47.841079
m3-334,m3-358,0x0000047f27,31,2204,775,2018-05-10 21:13:49.506386
m3-310,m3-322,0x0000048577,31,2311,1550,2018-05-10 21:14:13.525102
m3-322,m3-347,0x0000048911,31,65535,1031,2018-05-10 21:14:27.285343
m3-322,m3-335,0x0000048911,31,65535,1251,2018-05-10 21:14:27.363886
m3-334,m3-351,0x0000048eb4,31,2877,1031,2018-05-10 21:14:48.961947
m3-334,m3-346,0x0000049b0a,31,6912,1287,2018-05-10 21:15:36.224099
m3-322,m3-343,0x0000049e89,31,1880,1287,2018-05-10 21:15:49.750708
m3-329,m3-354,0x000004a23a,31,6949,1031,2018-05-10 21:16:03.787924
m3-334,m3-355,0x000004a3e2,31,1577,1031,2018-05-10 21:16:10.237465
m3-313,m3-329,0x000004a5ec,31,2142,1550,2018-05-10 21:16:18.112945
m3-305,m3-321,0x000004a841,31,2218,1550,2018-05-10 21:16:27.045207
m3-305,m3-310,0x000004b1aa,31,65535,1803,2018-05-10 21:17:03.102291
m3-321,m3-335,0x000004bb33,31,17415,1230,2018-05-10 21:17:39.647741
m3-330,m3-354,0x000004c487,31,7431,1031,2018-05-10 21:18:15.506107
m3-334,m3-347,0x000004c648,31,65535,1175,2018-05-10 21:18:22.0879
m3-339,m3-351,0x000004c94a,31,2775,1031,2018-05-10 21:18:33.777994
m3-326,m3-351,0x000004d0f7,31,1668,1031,2018-05-10 21:19:03.132409
m3-322,m3-335,0x000004d15b,31,1626,1068,2018-05-10 21:19:04.793913
m3-313,m3-335,0x000004d445,31,2067,1068,2018-05-10 21:19:15.812908
m3-330,m3-335,0x000004e4e8,31,65535,1068,2018-05-10 21:20:19.693803
m3-330,m3-326,0x000004ec8f,31,65535,1550,2018-05-10 21:20:48.97684
m3-330,m3-342,0x000004ec8f,31,65535,1572,2018-05-10 21:20:49.150226
m3-330,m3-338,0x000004ec8f,31,65535,1572,2018-05-10 21:20:49.215183
m3-330,m3-335,0x000004f2c8,31,65535,1288,2018-05-10 21:21:12.765973
m3-329,m3-351,0x000004fa5c,31,1687,1031,2018-05-10 21:21:41.953039
m3-326,m3-347,0x0000050031,31,2816,1152,2018-05-10 21:22:04.293249
m3-347,m3-351,0x0000051212,31,6656,1031,2018-05-10 21:23:12.869894
m3-326,m3-351,0x000005243d,31,2206,1031,2018-05-10 21:24:22.564633
m3-325,m3-354,0x000005246f,31,3335,1031,2018-05-10 21:24:23.329893
m3-334,m3-358,0x0000052504,31,1371,775,2018-05-10 21:24:25.813903
m3-325,m3-346,0x0000052928,31,65535,1287,2018-05-10 21:24:41.474626
m3-329,m3-343,0x0000052a75,31,65535,1287,2018-05-10 21:24:46.49735
m3-326,m3-346,0x0000052ec7,31,65535,1287,2018-05-10 21:25:03.003353
m3-322,m3-354,0x0000052f20,31,3271,1031,2018-05-10 21:25:04.75726
m3-321,m3-343,0x00000532d0,31,3730,1287,2018-05-10 21:25:18.493604
m3-330,m3-346,0x0000053397,31,1867,1287,2018-05-10 21:25:21.45265
m3-318,m3-339,0x0000053aaf,31,1863,1324,2018-05-10 21:25:48.645655
m3-325,m3-354,0x0000053fd7,31,65535,1031,2018-05-10 21:26:08.483816
m3-329,m3-338,0x0000053fef,31,65535,1578,2018-05-10 21:26:08.721329
m3-330,m3-334,0x00000540bf,31,65535,1294,2018-05-10 21:26:11.893731
m3-334,m3-354,0x00000540bb,31,65535,1031,2018-05-10 21:26:11.905782
