node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-326,m3-338,0x0000001784,42,65535,1990,2018-05-17 12:22:27.518002
m3-313,m3-334,0x0000001896,42,65535,1990,2018-05-17 12:22:31.603522
m3-309,m3-330,0x00000018c8,42,65535,3146,2018-05-17 12:22:32.377635
m3-310,m3-322,0x0000001b99,42,65535,2568,2018-05-17 12:22:43.15808
m3-355,m3-347,0x0000001be4,42,65535,1412,2018-05-17 12:22:44.309678
m3-329,m3-330,0x0000001c92,42,65535,3146,2018-05-17 12:22:46.88738
m3-299,m3-309,0x0000001d40,42,65535,3724,2018-05-17 12:22:49.496371
m3-298,m3-310,0x0000001e9c,42,65535,3146,2018-05-17 12:22:54.709295
m3-350,m3-358,0x000000224d,42,65535,834,2018-05-17 12:23:08.899513
m3-343,m3-346,0x0000002346,42,65535,1090,2018-05-17 12:23:12.616994
m3-321,m3-339,0x000000235f,42,65535,1990,2018-05-17 12:23:12.989257
m3-325,m3-322,0x00000027d7,42,65535,2459,2018-05-17 12:23:30.130755
m3-318,m3-339,0x00000029b0,42,65535,1990,2018-05-17 12:23:37.216591
m3-301,m3-309,0x0000002a77,42,65535,3724,2018-05-17 12:23:40.19471
m3-306,m3-325,0x0000002d2f,42,65535,3037,2018-05-17 12:23:50.614433
m3-317,m3-309,0x0000002d7a,42,65535,3724,2018-05-17 12:23:51.768927
m3-302,m3-306,0x0000002fb6,42,65535,3615,2018-05-17 12:24:00.327691
m3-305,m3-306,0x0000002fb6,42,65535,3615,2018-05-17 12:24:00.333574
m3-326,m3-343,0x000000334d,42,65535,2114,2018-05-17 12:24:14.111858
m3-306,m3-310,0x0000003cd4,42,3867,2748,2018-05-17 12:24:50.705286
m3-299,m3-310,0x0000003e18,42,4074,3194,2018-05-17 12:24:55.602575
m3-321,m3-338,0x0000004226,42,65535,1984,2018-05-17 12:25:11.162759
m3-321,m3-334,0x0000004227,42,65535,2102,2018-05-17 12:25:11.238038
m3-329,m3-351,0x000000430d,42,2372,1590,2018-05-17 12:25:14.574003
m3-309,m3-310,0x0000004891,42,65535,2748,2018-05-17 12:25:35.859044
m3-301,m3-310,0x0000004975,42,65535,3194,2018-05-17 12:25:39.103814
m3-317,m3-334,0x0000004984,42,65535,2102,2018-05-17 12:25:39.448523
m3-317,m3-322,0x0000004985,42,65535,2114,2018-05-17 12:25:39.529147
m3-321,m3-343,0x00000049bc,42,65535,2114,2018-05-17 12:25:40.12878
m3-321,m3-342,0x00000049bc,42,65535,2271,2018-05-17 12:25:40.269945
m3-326,m3-351,0x0000004a37,42,65535,1590,2018-05-17 12:25:42.135743
m3-338,m3-334,0x0000004d8c,42,2078,1448,2018-05-17 12:25:54.845938
m3-326,m3-322,0x00000051da,42,65535,2114,2018-05-17 12:26:11.343333
m3-326,m3-339,0x00000051da,42,65535,2436,2018-05-17 12:26:11.428941
m3-326,m3-318,0x00000051da,42,65535,2568,2018-05-17 12:26:11.549139
m3-326,m3-317,0x00000051da,42,65535,4302,2018-05-17 12:26:11.634983
m3-326,m3-325,0x00000055e6,42,65535,2370,2018-05-17 12:26:26.790122
m3-322,m3-346,0x000000583c,42,2117,1581,2018-05-17 12:26:35.824289
m3-329,m3-334,0x00000058b3,42,65535,1512,2018-05-17 12:26:37.529669
m3-321,m3-334,0x000000607d,42,65535,1894,2018-05-17 12:27:07.435528
m3-321,m3-322,0x000000607d,42,65535,1909,2018-05-17 12:27:07.506366
m3-342,m3-346,0x0000006e19,42,2118,1141,2018-05-17 12:27:59.709661
m3-310,m3-313,0x0000007483,42,13357,2280,2018-05-17 12:28:24.381445
m3-325,m3-339,0x00000077b7,42,4909,1792,2018-05-17 12:28:36.585567
m3-330,m3-339,0x00000078c9,42,3680,1792,2018-05-17 12:28:40.717858
m3-321,m3-339,0x00000079c2,42,3373,1792,2018-05-17 12:28:44.432048
m3-317,m3-335,0x0000007abb,42,3373,2186,2018-05-17 12:28:48.207001
m3-322,m3-339,0x0000007fec,42,65535,1846,2018-05-17 12:29:08.027976
m3-322,m3-329,0x0000008793,42,65535,2090,2018-05-17 12:29:37.518738
m3-322,m3-335,0x0000008793,42,65535,2186,2018-05-17 12:29:37.602067
m3-325,m3-334,0x0000008d95,42,65535,1955,2018-05-17 12:30:00.53608
m3-325,m3-335,0x0000008d95,42,65535,2300,2018-05-17 12:30:00.618424
m3-325,m3-326,0x0000008d95,42,65535,2948,2018-05-17 12:30:00.696207
