node,new_parent,asn,time
m3-264,m3-252,0x0000055e40,2018-02-20 11:43:59.272339
m3-233,m3-225,0x0000056042,2018-02-20 11:44:07.146037
m3-261,m3-260,0x00000562fc,2018-02-20 11:44:17.457205
m3-225,m3-212,0x000005650d,2018-02-20 11:44:25.431935
m3-252,m3-212,0x000005685b,2018-02-20 11:44:38.104467
m3-261,m3-256,0x0000056aa5,2018-02-20 11:44:46.946538
m3-261,m3-248,0x0000056aa5,2018-02-20 11:44:47.022172
m3-256,m3-236,0x0000056d1d,2018-02-20 11:44:56.381473
m3-252,m3-236,0x0000056e18,2018-02-20 11:45:00.145089
m3-237,m3-216,0x0000056ec4,2018-02-20 11:45:02.728324
m3-249,m3-240,0x000005706b,2018-02-20 11:45:09.025999
m3-252,m3-228,0x00000570b6,2018-02-20 11:45:10.271758
m3-260,m3-252,0x000005722b,2018-02-20 11:45:15.723467
m3-261,m3-256,0x0000057355,2018-02-20 11:45:20.11461
m3-253,m3-241,0x00000574b2,2018-02-20 11:45:25.526583
m3-264,m3-240,0x0000057751,2018-02-20 11:45:35.496543
m3-257,m3-253,0x0000057751,2018-02-20 11:45:35.506615
m3-233,m3-216,0x00000577b5,2018-02-20 11:45:36.922146
m3-260,m3-257,0x00000579be,2018-02-20 11:45:44.729558
m3-260,m3-256,0x00000579be,2018-02-20 11:45:44.805721
m3-260,m3-264,0x00000579be,2018-02-20 11:45:44.881709
m3-260,m3-248,0x0000057a54,2018-02-20 11:45:46.953447
m3-244,m3-212,0x0000057d89,2018-02-20 11:45:59.377845
m3-241,m3-228,0x0000057ee0,2018-02-20 11:46:04.645291
m3-241,m3-240,0x0000057ee0,2018-02-20 11:46:04.716788
m3-237,m3-224,0x0000057fb2,2018-02-20 11:46:07.760325
m3-264,m3-232,0x0000058494,2018-02-20 11:46:26.345663
m3-241,m3-232,0x0000058666,2018-02-20 11:46:33.420235
m3-241,m3-249,0x0000058666,2018-02-20 11:46:33.524106
m3-237,m3-220,0x000005871a,2018-02-20 11:46:35.956272
m3-253,m3-244,0x0000058769,2018-02-20 11:46:37.238808
m3-248,m3-216,0x0000058996,2018-02-20 11:46:45.563542
m3-237,m3-232,0x0000058e83,2018-02-20 11:47:04.627158
m3-236,m3-224,0x0000058f04,2018-02-20 11:47:06.307242
m3-245,m3-240,0x0000059149,2018-02-20 11:47:15.097717
m3-261,m3-252,0x000005923c,2018-02-20 11:47:18.727109
m3-236,m3-212,0x0000059696,2018-02-20 11:47:35.348111
m3-260,m3-232,0x0000059922,2018-02-20 11:47:45.239429
m3-256,m3-232,0x0000059a54,2018-02-20 11:47:49.705285
m3-248,m3-240,0x000005a046,2018-02-20 11:48:12.579951
m3-232,m3-212,0x000005a28f,2018-02-20 11:48:21.392885
m3-244,m3-216,0x000005a3b9,2018-02-20 11:48:25.83598
m3-257,m3-240,0x000005a436,2018-02-20 11:48:27.724961
m3-241,m3-249,0x000005a659,2018-02-20 11:48:35.837495
m3-260,m3-240,0x000005aec8,2018-02-20 11:49:08.288448
m3-253,m3-240,0x000005b345,2018-02-20 11:49:25.444433
m3-233,m3-220,0x000005b8e8,2018-02-20 11:49:47.084752
m3-261,m3-260,0x000005b91a,2018-02-20 11:49:47.776915
m3-233,m3-225,0x000005bc02,2018-02-20 11:49:59.093552
m3-240,m3-216,0x000005c66a,2018-02-20 11:50:39.036332
m3-249,m3-236,0x000005d1af,2018-02-20 11:51:22.112092
m3-257,m3-253,0x000005d2a8,2018-02-20 11:51:25.848193
m3-236,m3-216,0x000005d323,2018-02-20 11:51:27.790503
m3-236,m3-224,0x000005d324,2018-02-20 11:51:27.866628
m3-261,m3-240,0x000005d672,2018-02-20 11:51:40.411935
m3-253,m3-244,0x000005daab,2018-02-20 11:51:56.563195
m3-236,m3-240,0x000005dab5,2018-02-20 11:51:56.798879
m3-236,m3-241,0x000005dab5,2018-02-20 11:51:56.874666
m3-245,m3-212,0x000005daea,2018-02-20 11:51:57.515213
m3-236,m3-225,0x000005dd58,2018-02-20 11:52:06.813027
m3-249,m3-232,0x000005dd98,2018-02-20 11:52:07.847249
m3-261,m3-252,0x000005dd90,2018-02-20 11:52:07.854596
m3-249,m3-252,0x000005dd98,2018-02-20 11:52:07.927094
m3-265,m3-252,0x000005dfdf,2018-02-20 11:52:16.527226
m3-257,m3-264,0x000005e1e2,2018-02-20 11:52:24.25224
m3-253,m3-252,0x000005e425,2018-02-20 11:52:32.863307
m3-265,m3-256,0x000005e6a5,2018-02-20 11:52:42.438562
m3-241,m3-232,0x000005e89e,2018-02-20 11:52:50.090337
m3-249,m3-241,0x000005ecea,2018-02-20 11:53:06.567654
m3-249,m3-244,0x000005ecea,2018-02-20 11:53:06.642755
m3-260,m3-228,0x000005ed48,2018-02-20 11:53:08.001878
m3-240,m3-232,0x000005f4a8,2018-02-20 11:53:36.183083
m3-249,m3-248,0x00000606d6,2018-02-20 11:54:45.932059
m3-248,m3-212,0x0000060819,2018-02-20 11:54:50.8366
m3-248,m3-240,0x0000061ada,2018-02-20 11:56:02.854344
m3-248,m3-216,0x0000061f08,2018-02-20 11:56:18.7365
m3-248,m3-240,0x0000062283,2018-02-20 11:56:32.084879
m3-260,m3-245,0x0000062f98,2018-02-20 11:57:22.286045
m3-252,m3-212,0x0000069561,2018-02-20 12:03:52.778783
m3-252,m3-216,0x000006aee3,2018-02-20 12:05:30.71762
m3-261,m3-264,0x000006b001,2018-02-20 12:05:34.897494
m3-253,m3-245,0x000006cce2,2018-02-20 12:07:25.809309
m3-253,m3-244,0x000006cce2,2018-02-20 12:07:25.902042
m3-252,m3-224,0x000006cd70,2018-02-20 12:07:27.711852
m3-260,m3-212,0x00000748f2,2018-02-20 12:15:21.54021
m3-260,m3-256,0x0000074f86,2018-02-20 12:15:46.717038
m3-248,m3-212,0x0000076619,2018-02-20 12:17:13.377444
m3-248,m3-216,0x0000076bef,2018-02-20 12:17:35.678626
m3-248,m3-240,0x00000782eb,2018-02-20 12:19:03.841619
m3-232,m3-217,0x0000097edb,2018-02-20 12:51:32.300883
m3-232,m3-213,0x0000098e36,2018-02-20 12:52:31.207673
m3-217,m3-212,0x00000994b7,2018-02-20 12:52:56.138125
m3-264,m3-212,0x00000999f6,2018-02-20 12:53:16.255389
m3-240,m3-212,0x0000099a8c,2018-02-20 12:53:18.507433
m3-256,m3-244,0x0000099b6c,2018-02-20 12:53:21.901323
m3-232,m3-212,0x000009a625,2018-02-20 12:54:03.058012
m3-237,m3-212,0x000009a6ca,2018-02-20 12:54:05.465726
m3-264,m3-245,0x000009b53d,2018-02-20 12:55:00.833204
m3-264,m3-236,0x000009b53d,2018-02-20 12:55:00.908218
m3-212,m3-213,0x000009bc75,2018-02-20 12:55:28.578517
m3-261,m3-260,0x000009c17f,2018-02-20 12:55:47.815762
m3-237,m3-240,0x000009c835,2018-02-20 12:56:13.564593
m3-261,m3-257,0x000009c929,2018-02-20 12:56:17.250708
m3-212,m3-209,0x000009ca8c,2018-02-20 12:56:22.697366
m3-213,m3-209,0x000009d906,2018-02-20 12:57:18.194647
m3-257,m3-252,0x000009eace,2018-02-20 12:58:26.325474
m3-212,m3-207,0x000009f3d9,2018-02-20 12:59:01.010249
m3-216,m3-220,0x000009f6a9,2018-02-20 12:59:11.96147
m3-252,m3-216,0x000009f6f4,2018-02-20 12:59:12.99708
m3-252,m3-232,0x000009f70e,2018-02-20 12:59:13.270919
m3-220,m3-232,0x00000a045d,2018-02-20 13:00:04.375796
m3-220,m3-224,0x00000a058a,2018-02-20 13:00:08.823998
m3-213,m3-207,0x00000a0b5c,2018-02-20 13:00:31.219106
m3-248,m3-220,0x00000a11f7,2018-02-20 13:00:56.560558
m3-248,m3-224,0x00000a15c4,2018-02-20 13:01:11.143647
m3-244,m3-212,0x00000a1705,2018-02-20 13:01:15.992099
m3-216,m3-209,0x00000a18dd,2018-02-20 13:01:23.080911
m3-249,m3-245,0x00000a270d,2018-02-20 13:02:17.501801
m3-264,m3-232,0x00000a2eba,2018-02-20 13:02:46.905319
m3-252,m3-240,0x00000a34a7,2018-02-20 13:03:09.60055
m3-256,m3-236,0x00000a3c0a,2018-02-20 13:03:37.958111
m3-252,m3-245,0x00000a3d34,2018-02-20 13:03:42.429671
m3-244,m3-224,0x00000a47dd,2018-02-20 13:04:23.253971
m3-256,m3-240,0x00000a4812,2018-02-20 13:04:24.216385
m3-244,m3-245,0x00000a4f72,2018-02-20 13:04:52.506612
m3-248,m3-228,0x00000a5219,2018-02-20 13:05:02.559383
m3-224,m3-213,0x00000a562d,2018-02-20 13:05:18.257779
m3-253,m3-257,0x00000a565f,2018-02-20 13:05:18.952382
m3-244,m3-237,0x00000a5708,2018-02-20 13:05:21.515423
m3-244,m3-260,0x00000a5708,2018-02-20 13:05:21.595504
m3-244,m3-261,0x00000a645d,2018-02-20 13:06:12.544484
m3-252,m3-216,0x00000a706a,2018-02-20 13:06:59.041373
m3-260,m3-240,0x00000a70b4,2018-02-20 13:06:59.986162
m3-265,m3-264,0x00000a744d,2018-02-20 13:07:13.794164
m3-257,m3-264,0x00000a7e80,2018-02-20 13:07:52.921196
m3-252,m3-240,0x00000a808a,2018-02-20 13:08:00.697356
m3-244,m3-212,0x00000a8200,2018-02-20 13:08:06.306809
m3-256,m3-264,0x00000a8338,2018-02-20 13:08:11.086997
m3-240,m3-216,0x00000acd03,2018-02-20 13:12:54.080974
m3-232,m3-216,0x00000acd9a,2018-02-20 13:12:56.317935
m3-264,m3-212,0x00000ad5c2,2018-02-20 13:13:27.596053
m3-240,m3-212,0x00000adecd,2018-02-20 13:14:02.289145
m3-264,m3-245,0x00000ae364,2018-02-20 13:14:19.990298
m3-257,m3-265,0x00000ae40b,2018-02-20 13:14:22.38577
m3-241,m3-212,0x00000ae567,2018-02-20 13:14:27.642512
m3-256,m3-240,0x00000ae692,2018-02-20 13:14:32.16824
m3-257,m3-236,0x00000ae931,2018-02-20 13:14:42.145215
m3-253,m3-244,0x00000af6cc,2018-02-20 13:15:34.31798
m3-257,m3-248,0x00000afa77,2018-02-20 13:15:48.455218
m3-212,m3-209,0x00000afd1d,2018-02-20 13:15:58.775974
m3-261,m3-260,0x00000b0195,2018-02-20 13:16:15.712632
m3-241,m3-245,0x00000b0543,2018-02-20 13:16:29.900069
m3-217,m3-207,0x00000b0782,2018-02-20 13:16:38.416154
m3-233,m3-216,0x00000b2110,2018-02-20 13:18:16.446678
m3-260,m3-228,0x00000b3100,2018-02-20 13:19:17.560257
m3-252,m3-216,0x00000b3403,2018-02-20 13:19:29.14855
m3-252,m3-240,0x00000b3f7c,2018-02-20 13:20:13.105001
m3-228,m3-213,0x00000b4028,2018-02-20 13:20:15.748199
m3-256,m3-232,0x00000b45cb,2018-02-20 13:20:37.327023
m3-237,m3-224,0x00000b4647,2018-02-20 13:20:39.182586
m3-264,m3-232,0x00000b48ce,2018-02-20 13:20:48.91838
m3-252,m3-232,0x00000b48ce,2018-02-20 13:20:48.933043
m3-260,m3-232,0x00000b4f1f,2018-02-20 13:21:13.100139
m3-248,m3-232,0x00000b526d,2018-02-20 13:21:25.865028
m3-249,m3-232,0x00000b54a9,2018-02-20 13:21:34.459939
m3-241,m3-232,0x00000b553e,2018-02-20 13:21:36.612714
m3-228,m3-212,0x00000b577a,2018-02-20 13:21:45.163345
m3-264,m3-245,0x00000b5793,2018-02-20 13:21:45.547042
m3-240,m3-253,0x00000b5d36,2018-02-20 13:22:07.11052
m3-260,m3-236,0x00000b5d91,2018-02-20 13:22:08.44526
m3-245,m3-224,0x00000b5e3f,2018-02-20 13:22:11.046022
m3-232,m3-217,0x00000b62c0,2018-02-20 13:22:28.517607
m3-249,m3-245,0x00000b66e2,2018-02-20 13:22:44.177804
m3-265,m3-256,0x00000b6738,2018-02-20 13:22:45.556883
m3-260,m3-232,0x00000b6cb8,2018-02-20 13:23:06.562764
m3-249,m3-244,0x00000b6e8c,2018-02-20 13:23:13.618679
m3-261,m3-232,0x00000b6efe,2018-02-20 13:23:15.373709
m3-241,m3-212,0x00000b727e,2018-02-20 13:23:28.80181
m3-264,m3-232,0x00000b72eb,2018-02-20 13:23:30.410612
m3-248,m3-236,0x00000b7345,2018-02-20 13:23:31.810127
m3-245,m3-248,0x00000b74a2,2018-02-20 13:23:37.172357
m3-256,m3-224,0x00000b7504,2018-02-20 13:23:38.469701
m3-232,m3-212,0x00000b7910,2018-02-20 13:23:54.154499
m3-264,m3-256,0x00000b7a78,2018-02-20 13:23:59.425407
m3-264,m3-253,0x00000b7a78,2018-02-20 13:23:59.51461
m3-245,m3-236,0x00000b7d15,2018-02-20 13:24:09.341411
m3-249,m3-257,0x00000b7dde,2018-02-20 13:24:12.351481
m3-249,m3-253,0x00000b7dde,2018-02-20 13:24:12.413318
m3-232,m3-225,0x00000b8098,2018-02-20 13:24:22.908896
m3-232,m3-256,0x00000b8098,2018-02-20 13:24:22.983642
m3-241,m3-233,0x00000b8143,2018-02-20 13:24:25.469203
m3-264,m3-256,0x00000b820a,2018-02-20 13:24:28.411607
m3-252,m3-224,0x00000b820a,2018-02-20 13:24:28.542581
m3-260,m3-256,0x00000b8374,2018-02-20 13:24:33.933375
m3-261,m3-256,0x00000b8580,2018-02-20 13:24:41.620496
m3-240,m3-212,0x00000b8915,2018-02-20 13:24:55.404287
m3-260,m3-248,0x00000b8b07,2018-02-20 13:25:02.942092
m3-236,m3-216,0x00000b9084,2018-02-20 13:25:23.957595
m3-260,m3-265,0x00000b90cf,2018-02-20 13:25:25.007448
m3-264,m3-244,0x00000b9943,2018-02-20 13:25:57.491201
m3-252,m3-236,0x00000b9b24,2018-02-20 13:26:04.791121
m3-256,m3-244,0x00000b9c2c,2018-02-20 13:26:08.616458
m3-265,m3-261,0x00000ba7b7,2018-02-20 13:26:53.003415
m3-261,m3-240,0x00000ba9af,2018-02-20 13:27:00.562578
m3-252,m3-249,0x00000baeee,2018-02-20 13:27:20.554427
m3-260,m3-236,0x00000bb0ea,2018-02-20 13:27:28.221158
m3-261,m3-248,0x00000bb377,2018-02-20 13:27:38.100004
m3-236,m3-212,0x00000bb558,2018-02-20 13:27:45.209633
m3-236,m3-224,0x00000bb569,2018-02-20 13:27:45.485994
m3-240,m3-224,0x00000bb57d,2018-02-20 13:27:45.693732
m3-260,m3-228,0x00000bb87d,2018-02-20 13:27:57.208792
m3-261,m3-264,0x00000bc2c9,2018-02-20 13:28:36.79494
m3-233,m3-237,0x00000bc592,2018-02-20 13:28:47.466158
m3-265,m3-261,0x00000bcab8,2018-02-20 13:29:07.1547
m3-248,m3-237,0x00000bcbfb,2018-02-20 13:29:12.179761
m3-256,m3-224,0x00000bd67a,2018-02-20 13:29:52.324138
m3-264,m3-224,0x00000bd932,2018-02-20 13:30:02.734909
m3-253,m3-256,0x00000bda8f,2018-02-20 13:30:07.98545
m3-252,m3-224,0x00000bdbeb,2018-02-20 13:30:13.183442
m3-244,m3-216,0x00000be16e,2018-02-20 13:30:34.240995
m3-244,m3-228,0x00000be16e,2018-02-20 13:30:34.315368
m3-240,m3-216,0x00000be1e6,2018-02-20 13:30:36.173275
m3-240,m3-245,0x00000be1e6,2018-02-20 13:30:36.241803
m3-261,m3-252,0x00000be335,2018-02-20 13:30:41.205358
m3-257,m3-264,0x00000be88d,2018-02-20 13:31:01.658498
m3-248,m3-224,0x00000be916,2018-02-20 13:31:03.807808
m3-248,m3-260,0x00000be917,2018-02-20 13:31:03.882386
m3-265,m3-264,0x00000bea65,2018-02-20 13:31:08.725127
m3-248,m3-249,0x00000bea97,2018-02-20 13:31:09.399354
m3-264,m3-256,0x00000bebc8,2018-02-20 13:31:14.079976
m3-249,m3-228,0x00000bec0c,2018-02-20 13:31:15.048098
m3-257,m3-260,0x00000bf079,2018-02-20 13:31:31.957315
m3-256,m3-260,0x00000bf25d,2018-02-20 13:31:39.274315
m3-265,m3-260,0x00000bf2df,2018-02-20 13:31:41.150813
m3-264,m3-257,0x00000bf356,2018-02-20 13:31:43.073453
m3-264,m3-253,0x00000bf356,2018-02-20 13:31:43.195836
m3-264,m3-260,0x00000bf356,2018-02-20 13:31:43.256283
m3-264,m3-244,0x00000c0345,2018-02-20 13:32:44.071685
m3-249,m3-236,0x00000c07c4,2018-02-20 13:33:01.313427
m3-256,m3-245,0x00000c1000,2018-02-20 13:33:32.98827
m3-248,m3-216,0x00000c120a,2018-02-20 13:33:40.777433
m3-257,m3-252,0x00000c1415,2018-02-20 13:33:48.557474
m3-232,m3-213,0x00000c1478,2018-02-20 13:33:50.11748
m3-256,m3-252,0x00000c19dc,2018-02-20 13:34:10.699378
m3-260,m3-245,0x00000c1afd,2018-02-20 13:34:15.031013
m3-260,m3-236,0x00000c1afe,2018-02-20 13:34:15.106741
m3-261,m3-252,0x00000c1b77,2018-02-20 13:34:16.867013
m3-249,m3-252,0x00000c1ec0,2018-02-20 13:34:29.453625
m3-265,m3-252,0x00000c1ff7,2018-02-20 13:34:34.237737
m3-244,m3-224,0x00000c260f,2018-02-20 13:34:57.678369
m3-261,m3-232,0x00000c287c,2018-02-20 13:35:06.873809
m3-232,m3-212,0x00000c29d9,2018-02-20 13:35:12.107117
m3-244,m3-216,0x00000c2d47,2018-02-20 13:35:25.317353
m3-261,m3-252,0x00000c35b4,2018-02-20 13:35:57.672898
m3-264,m3-224,0x00000c3901,2018-02-20 13:36:10.306731
m3-244,m3-232,0x00000c3c72,2018-02-20 13:36:23.543045
m3-261,m3-232,0x00000c4380,2018-02-20 13:36:50.675226
m3-244,m3-240,0x00000c4399,2018-02-20 13:36:50.815922
m3-264,m3-212,0x00000c466e,2018-02-20 13:37:01.659119
m3-213,m3-209,0x00000c49d1,2018-02-20 13:37:15.025065
m3-248,m3-212,0x00000c4cae,2018-02-20 13:37:25.648943
m3-248,m3-220,0x00000c4cae,2018-02-20 13:37:25.768732
m3-208,m3-207,0x00000c4d9b,2018-02-20 13:37:29.281585
m3-213,m3-207,0x00000c4ede,2018-02-20 13:37:34.268496
m3-265,m3-260,0x00000c4f8c,2018-02-20 13:37:36.672822
m3-261,m3-264,0x00000c5459,2018-02-20 13:37:55.150908
m3-261,m3-260,0x00000c5c02,2018-02-20 13:38:24.64369
m3-248,m3-232,0x00000c5c01,2018-02-20 13:38:24.806644
m3-213,m3-209,0x00000c5d58,2018-02-20 13:38:29.911423
m3-249,m3-232,0x00000c6965,2018-02-20 13:39:15.93576
m3-261,m3-253,0x00000c6e8b,2018-02-20 13:39:35.538657
m3-213,m3-207,0x00000c75bc,2018-02-20 13:40:03.471316
m3-249,m3-264,0x00000c8257,2018-02-20 13:40:51.594124
m3-249,m3-245,0x00000c8258,2018-02-20 13:40:51.745815
m3-264,m3-236,0x00000c82dc,2018-02-20 13:40:53.459941
m3-240,m3-212,0x00000c8516,2018-02-20 13:41:02.061923
m3-248,m3-228,0x00000c8673,2018-02-20 13:41:07.299696
m3-213,m3-217,0x00000c8721,2018-02-20 13:41:09.944594
m3-264,m3-252,0x00000c8a6a,2018-02-20 13:41:22.552488
m3-264,m3-232,0x00000c8d8a,2018-02-20 13:41:34.471579
m3-224,m3-217,0x00000c93ab,2018-02-20 13:41:58.070216
m3-220,m3-207,0x00000c9489,2018-02-20 13:42:01.343213
m3-249,m3-237,0x00000c94ed,2018-02-20 13:42:02.791016
m3-261,m3-232,0x00000c9e28,2018-02-20 13:42:38.244102
m3-260,m3-228,0x00000ca460,2018-02-20 13:43:02.093388
m3-249,m3-236,0x00000ca6e7,2018-02-20 13:43:11.837243
m3-256,m3-248,0x00000cab91,2018-02-20 13:43:29.676406
m3-257,m3-248,0x00000cb24c,2018-02-20 13:43:55.465131
m3-245,m3-228,0x00000cb833,2018-02-20 13:44:18.19503
m3-224,m3-209,0x00000cb9a8,2018-02-20 13:44:23.795615
m3-253,m3-248,0x00000cba0b,2018-02-20 13:44:25.263133
m3-260,m3-232,0x00000cba1b,2018-02-20 13:44:25.453611
m3-256,m3-228,0x00000cbc84,2018-02-20 13:44:34.872138
m3-224,m3-212,0x00000cbd60,2018-02-20 13:44:37.977199
m3-265,m3-261,0x00000cbeb5,2018-02-20 13:44:43.062761
m3-249,m3-240,0x00000cbfa1,2018-02-20 13:44:46.557356
m3-260,m3-236,0x00000cc1af,2018-02-20 13:44:54.51965
m3-256,m3-264,0x00000cc3e9,2018-02-20 13:45:02.981896
m3-228,m3-217,0x00000ccb3e,2018-02-20 13:45:31.205645
m3-236,m3-228,0x00000cd50a,2018-02-20 13:46:08.760016
m3-252,m3-264,0x00000cd700,2018-02-20 13:46:16.291434
m3-260,m3-228,0x00000cd86a,2018-02-20 13:46:21.703576
m3-260,m3-264,0x00000cdffe,2018-02-20 13:46:50.714529
m3-228,m3-212,0x00000ce4cc,2018-02-20 13:47:09.329914
m3-212,m3-207,0x00000cf75b,2018-02-20 13:48:20.420553
m3-241,m3-216,0x00000d0461,2018-02-20 13:49:10.343193
m3-233,m3-216,0x00000d069d,2018-02-20 13:49:18.927061
m3-240,m3-220,0x00000d11fb,2018-02-20 13:50:02.531791
m3-241,m3-228,0x00000d13e5,2018-02-20 13:50:09.987697
m3-224,m3-217,0x00000d1a6f,2018-02-20 13:50:34.961531
m3-233,m3-240,0x00000d1c84,2018-02-20 13:50:43.038717
m3-244,m3-216,0x00000d1f32,2018-02-20 13:50:53.259333
m3-240,m3-232,0x00000d278c,2018-02-20 13:51:25.21634
m3-261,m3-264,0x00000d27d8,2018-02-20 13:51:26.391206
m3-264,m3-228,0x00000d3528,2018-02-20 13:52:17.460924
m3-233,m3-228,0x00000d366b,2018-02-20 13:52:22.317973
m3-264,m3-248,0x00000d3827,2018-02-20 13:52:28.863944
m3-244,m3-228,0x00000d3e53,2018-02-20 13:52:52.538726
m3-244,m3-248,0x00000d3e53,2018-02-20 13:52:52.615659
m3-252,m3-228,0x00000d4dd6,2018-02-20 13:53:52.124868
m3-232,m3-220,0x00000d4f96,2018-02-20 13:53:58.854674
m3-249,m3-228,0x00000d63b3,2018-02-20 13:55:16.015942
m3-240,m3-212,0x00000d69a0,2018-02-20 13:55:38.724937
m3-232,m3-212,0x00000d7709,2018-02-20 13:56:30.135667
m3-249,m3-252,0x00000d7f28,2018-02-20 13:57:01.241645
m3-264,m3-224,0x00000d85ce,2018-02-20 13:57:26.824548
m3-257,m3-236,0x00000d897f,2018-02-20 13:57:40.998509
m3-253,m3-252,0x00000d8a15,2018-02-20 13:57:43.339173
m3-244,m3-212,0x00000d8ac3,2018-02-20 13:57:45.817393
m3-260,m3-228,0x00000d8dc6,2018-02-20 13:57:57.385257
m3-240,m3-216,0x00000d8f2a,2018-02-20 13:58:02.729074
m3-256,m3-236,0x00000d8f6d,2018-02-20 13:58:03.728284
m3-261,m3-252,0x00000d8fd0,2018-02-20 13:58:05.19574
m3-264,m3-212,0x00000d92cd,2018-02-20 13:58:16.574763
m3-240,m3-232,0x00000d9691,2018-02-20 13:58:31.236903
m3-252,m3-216,0x00000d98c1,2018-02-20 13:58:39.467939
m3-228,m3-224,0x00000d9a36,2018-02-20 13:58:45.153517
m3-260,m3-252,0x00000d9d6b,2018-02-20 13:58:57.369624
m3-257,m3-265,0x00000da0d9,2018-02-20 13:59:10.551949
m3-256,m3-252,0x00000da1b7,2018-02-20 13:59:13.911032
m3-256,m3-244,0x00000da1b7,2018-02-20 13:59:13.987936
m3-252,m3-236,0x00000da285,2018-02-20 13:59:16.878899
m3-257,m3-253,0x00000da2f5,2018-02-20 13:59:18.611976
m3-240,m3-216,0x00000da4e6,2018-02-20 13:59:26.087645
m3-260,m3-244,0x00000da4ff,2018-02-20 13:59:26.369997
m3-248,m3-212,0x00000dab05,2018-02-20 13:59:49.590397
m3-228,m3-209,0x00000dab69,2018-02-20 13:59:51.108355
m3-248,m3-236,0x00000dad16,2018-02-20 13:59:57.414245
m3-261,m3-265,0x00000dad18,2018-02-20 13:59:57.541272
m3-236,m3-212,0x00000daeb6,2018-02-20 14:00:03.706079
m3-264,m3-244,0x00000db104,2018-02-20 14:00:12.647272
m3-249,m3-244,0x00000db2cb,2018-02-20 14:00:19.385811
m3-265,m3-260,0x00000db5d0,2018-02-20 14:00:31.098029
m3-264,m3-261,0x00000db891,2018-02-20 14:00:41.636923
m3-264,m3-249,0x00000db891,2018-02-20 14:00:41.728897
m3-256,m3-244,0x00000dbac3,2018-02-20 14:00:49.880063
m3-264,m3-248,0x00000dc01b,2018-02-20 14:01:10.367194
m3-233,m3-212,0x00000dc3b3,2018-02-20 14:01:24.216919
m3-261,m3-256,0x00000dc653,2018-02-20 14:01:34.262775
m3-241,m3-216,0x00000dc96f,2018-02-20 14:01:46.265831
m3-228,m3-212,0x00000dcbac,2018-02-20 14:01:54.764409
m3-245,m3-244,0x00000dcdb6,2018-02-20 14:02:02.693663
m3-233,m3-229,0x00000dd404,2018-02-20 14:02:26.720036
m3-241,m3-244,0x00000dd780,2018-02-20 14:02:40.335082
m3-264,m3-212,0x00000e4712,2018-02-20 14:09:48.139251
m3-264,m3-232,0x00000e520d,2018-02-20 14:10:30.282903
m3-244,m3-216,0x00000ecad6,2018-02-20 14:18:13.546264
m3-237,m3-220,0x00000ed29b,2018-02-20 14:18:43.533306
m3-237,m3-232,0x00000ed8c1,2018-02-20 14:19:06.872314
m3-244,m3-212,0x00000ede44,2018-02-20 14:19:28.217807
m3-241,m3-228,0x00000ee9bb,2018-02-20 14:20:12.076327
m3-252,m3-216,0x0000117094,2018-02-20 15:01:33.26121
m3-248,m3-216,0x0000117254,2018-02-20 15:01:40.003574
m3-248,m3-224,0x0000117a0a,2018-02-20 15:02:09.527141
m3-253,m3-244,0x00001185aa,2018-02-20 15:02:54.135876
m3-236,m3-220,0x0000118a6d,2018-02-20 15:03:12.413032
m3-248,m3-240,0x0000119106,2018-02-20 15:03:37.768169
m3-236,m3-225,0x000011a094,2018-02-20 15:04:37.396082
m3-252,m3-244,0x000011a1ff,2018-02-20 15:04:42.738199
m3-252,m3-240,0x000011a9a3,2018-02-20 15:05:12.254686
m3-252,m3-264,0x000011a9a3,2018-02-20 15:05:12.321784
m3-240,m3-244,0x000011aba8,2018-02-20 15:05:19.945715
m3-252,m3-240,0x000011b627,2018-02-20 15:06:00.061785
m3-248,m3-220,0x0000122a8f,2018-02-20 15:13:26.655821
m3-248,m3-240,0x000012413a,2018-02-20 15:14:53.548466
m3-244,m3-217,0x0000126e7b,2018-02-20 15:17:47.173928
m3-253,m3-249,0x000012784b,2018-02-20 15:18:24.873042
m3-256,m3-249,0x00001279f2,2018-02-20 15:18:31.154549
m3-240,m3-224,0x0000127a3c,2018-02-20 15:18:32.316084
m3-245,m3-236,0x0000127c47,2018-02-20 15:18:40.120367
m3-244,m3-212,0x0000127ccc,2018-02-20 15:18:42.019383
m3-252,m3-232,0x0000127f31,2018-02-20 15:18:51.276914
m3-248,m3-220,0x000012886c,2018-02-20 15:19:26.683106
m3-248,m3-228,0x0000128dd7,2018-02-20 15:19:47.390743
m3-260,m3-228,0x000012926e,2018-02-20 15:20:05.144241
m3-249,m3-228,0x0000129399,2018-02-20 15:20:09.665206
m3-244,m3-224,0x0000129b22,2018-02-20 15:20:38.369317
m3-244,m3-232,0x0000129b23,2018-02-20 15:20:38.451328
m3-260,m3-236,0x0000129dec,2018-02-20 15:20:49.118602
m3-253,m3-264,0x0000129ec5,2018-02-20 15:20:52.429084
m3-256,m3-264,0x000012a277,2018-02-20 15:21:06.731128
m3-249,m3-241,0x000012a4dd,2018-02-20 15:21:15.748602
m3-212,m3-209,0x000012a7cf,2018-02-20 15:21:27.088748
m3-240,m3-212,0x000012ad2c,2018-02-20 15:21:47.582519
m3-265,m3-264,0x000012ad8a,2018-02-20 15:21:49.080922
m3-240,m3-220,0x000012b493,2018-02-20 15:22:16.039342
