node,new_parent,asn,time
m3-244,m3-220,0x00000b6100,2018-02-13 14:39:37.000582
m3-240,m3-208,0x00000b861e,2018-02-13 14:41:59.385753
m3-240,m3-228,0x00000b87b4,2018-02-13 14:42:05.38677
m3-244,m3-216,0x00000b8cd3,2018-02-13 14:42:25.089179
m3-220,m3-213,0x00000b9591,2018-02-13 14:42:58.756524
m3-240,m3-213,0x0000105396,2018-02-13 16:00:35.396817
m3-220,m3-207,0x000000082a,2018-02-20 10:16:39.207627
m3-216,m3-220,0x0000000a1b,2018-02-20 10:16:46.655563
m3-229,m3-220,0x0000000d9b,2018-02-20 10:17:00.083542
m3-217,m3-216,0x0000000f42,2018-02-20 10:17:06.422901
m3-212,m3-216,0x0000000f42,2018-02-20 10:17:06.423993
m3-232,m3-220,0x0000001213,2018-02-20 10:17:17.229519
m3-240,m3-232,0x00000013d3,2018-02-20 10:17:23.97627
m3-241,m3-232,0x00000013d3,2018-02-20 10:17:23.98494
m3-233,m3-232,0x00000013d3,2018-02-20 10:17:23.987059
m3-228,m3-232,0x00000013d3,2018-02-20 10:17:23.988334
m3-209,m3-220,0x000000165a,2018-02-20 10:17:33.61811
m3-244,m3-212,0x00000016bd,2018-02-20 10:17:35.105757
m3-224,m3-244,0x0000001864,2018-02-20 10:17:41.442867
m3-213,m3-224,0x00000018af,2018-02-20 10:17:42.56918
m3-245,m3-240,0x0000001aa0,2018-02-20 10:17:50.011196
m3-248,m3-241,0x0000001cab,2018-02-20 10:17:57.90178
m3-225,m3-244,0x0000001d59,2018-02-20 10:18:00.474677
m3-232,m3-216,0x0000002471,2018-02-20 10:18:27.827687
m3-216,m3-207,0x0000002489,2018-02-20 10:18:28.140181
m3-216,m3-209,0x0000002552,2018-02-20 10:18:31.039385
m3-220,m3-216,0x00000026ad,2018-02-20 10:18:36.329011
m3-252,m3-232,0x00000028b7,2018-02-20 10:18:44.076532
m3-236,m3-232,0x00000028b7,2018-02-20 10:18:44.083902
m3-256,m3-236,0x000000315d,2018-02-20 10:19:17.239814
m3-249,m3-241,0x00000032eb,2018-02-20 10:19:23.205756
m3-208,m3-209,0x0000003a1c,2018-02-20 10:19:50.783401
m3-237,m3-241,0x0000003ae3,2018-02-20 10:19:53.766682
m3-260,m3-236,0x0000003afc,2018-02-20 10:19:54.203672
m3-213,m3-207,0x0000003c45,2018-02-20 10:19:59.07336
m3-261,m3-260,0x0000003ca2,2018-02-20 10:20:00.467171
m3-217,m3-207,0x000000403b,2018-02-20 10:20:14.352693
m3-225,m3-220,0x0000004319,2018-02-20 10:20:25.358597
m3-216,m3-207,0x0000004370,2018-02-20 10:20:26.645501
m3-244,m3-232,0x0000004444,2018-02-20 10:20:29.911027
m3-244,m3-220,0x0000004444,2018-02-20 10:20:29.988761
m3-224,m3-209,0x00000044be,2018-02-20 10:20:31.583223
m3-221,m3-228,0x0000004833,2018-02-20 10:20:44.842055
m3-236,m3-216,0x00000048fa,2018-02-20 10:20:48.020797
m3-225,m3-232,0x0000004a8d,2018-02-20 10:20:53.873836
m3-224,m3-216,0x0000004c61,2018-02-20 10:21:00.868911
m3-228,m3-216,0x0000004cc4,2018-02-20 10:21:02.441533
m3-253,m3-252,0x0000004d40,2018-02-20 10:21:04.250012
m3-257,m3-252,0x0000004d40,2018-02-20 10:21:04.256939
m3-256,m3-252,0x0000005153,2018-02-20 10:21:19.999062
m3-213,m3-216,0x00000052dc,2018-02-20 10:21:25.716209
m3-209,m3-207,0x0000005372,2018-02-20 10:21:28.159855
m3-265,m3-257,0x0000005551,2018-02-20 10:21:35.153385
m3-216,m3-217,0x0000005631,2018-02-20 10:21:38.708319
m3-229,m3-216,0x0000005854,2018-02-20 10:21:46.864922
m3-260,m3-240,0x00000058b7,2018-02-20 10:21:48.266158
m3-264,m3-265,0x0000005ac2,2018-02-20 10:21:56.015828
m3-240,m3-216,0x0000005b3e,2018-02-20 10:21:58.022366
m3-236,m3-228,0x0000006269,2018-02-20 10:22:25.49366
m3-244,m3-216,0x000000629a,2018-02-20 10:22:26.17759
m3-244,m3-232,0x000000629b,2018-02-20 10:22:26.247051
m3-257,m3-236,0x00000063fd,2018-02-20 10:22:31.650705
m3-237,m3-212,0x00000064c4,2018-02-20 10:22:34.485199
m3-257,m3-252,0x0000006863,2018-02-20 10:22:48.29417
m3-236,m3-233,0x00000069fa,2018-02-20 10:22:54.510039
m3-236,m3-237,0x00000069fa,2018-02-20 10:22:54.582974
m3-244,m3-212,0x0000006a30,2018-02-20 10:22:55.201344
m3-260,m3-228,0x0000006aca,2018-02-20 10:22:57.602447
