node,destination,asn,iana_6top_cmd,requested_cell,time
m3-216,m3-209,0x0000004aa1,6,0,2018-02-20 10:20:54.162663
m3-217,m3-216,0x0000004b41,6,0,2018-02-20 10:20:56.543899
m3-232,m3-220,0x0000004b50,6,0,2018-02-20 10:20:56.771875
m3-244,m3-220,0x0000004c16,1,1,2018-02-20 10:20:59.735217
m3-220,m3-216,0x0000004c1c,1,3,2018-02-20 10:20:59.82977
m3-225,m3-232,0x0000004cdd,1,1,2018-02-20 10:21:02.755229
m3-216,m3-207,0x0000004cdd,1,2,2018-02-20 10:21:02.756003
m3-224,m3-216,0x0000004cdd,1,1,2018-02-20 10:21:02.769857
m3-244,m3-220,0x0000004cdd,1,1,2018-02-20 10:21:02.77
m3-228,m3-216,0x0000004da4,1,2,2018-02-20 10:21:05.756797
m3-257,m3-252,0x0000004da4,1,1,2018-02-20 10:21:05.758011
m3-253,m3-252,0x0000004da4,1,1,2018-02-20 10:21:05.777348
m3-244,m3-220,0x0000004da4,1,1,2018-02-20 10:21:05.779426
m3-225,m3-232,0x0000004e6b,1,1,2018-02-20 10:21:08.715041
m3-216,m3-207,0x0000004e6b,6,0,2018-02-20 10:21:08.718123
m3-232,m3-216,0x0000004e71,1,3,2018-02-20 10:21:08.771393
m3-224,m3-216,0x0000004f32,1,1,2018-02-20 10:21:11.673643
m3-208,m3-209,0x0000004f32,1,1,2018-02-20 10:21:11.675283
m3-220,m3-216,0x0000004f38,1,3,2018-02-20 10:21:11.765246
m3-232,m3-216,0x0000004f38,1,3,2018-02-20 10:21:11.767947
m3-252,m3-232,0x0000004f41,1,2,2018-02-20 10:21:11.888896
m3-216,m3-207,0x0000004ff9,6,0,2018-02-20 10:21:14.657919
m3-225,m3-232,0x0000004ff9,1,1,2018-02-20 10:21:14.6718
m3-252,m3-232,0x0000005008,1,2,2018-02-20 10:21:14.871504
m3-216,m3-207,0x00000050c0,1,2,2018-02-20 10:21:17.625591
m3-220,m3-207,0x0000005154,6,0,2018-02-20 10:21:19.875569
m3-244,m3-220,0x0000005187,1,1,2018-02-20 10:21:20.642203
m3-224,m3-216,0x0000005187,1,1,2018-02-20 10:21:20.644281
m3-216,m3-207,0x0000005187,1,2,2018-02-20 10:21:20.649286
m3-208,m3-209,0x000000524e,1,1,2018-02-20 10:21:23.606851
m3-216,m3-207,0x000000524e,1,2,2018-02-20 10:21:23.615706
m3-232,m3-216,0x0000005254,1,3,2018-02-20 10:21:23.689969
m3-252,m3-232,0x000000525d,1,2,2018-02-20 10:21:23.812963
m3-217,m3-216,0x00000052c7,6,0,2018-02-20 10:21:25.4063
m3-232,m3-220,0x00000052d8,6,0,2018-02-20 10:21:25.646098
m3-213,m3-216,0x0000005315,1,1,2018-02-20 10:21:26.586746
m3-208,m3-209,0x0000005315,1,1,2018-02-20 10:21:26.600844
m3-244,m3-220,0x0000005315,1,1,2018-02-20 10:21:26.606283
m3-209,m3-207,0x00000053e0,6,0,2018-02-20 10:21:29.61507
m3-228,m3-232,0x0000005443,6,0,2018-02-20 10:21:31.09548
m3-256,m3-252,0x00000054a3,1,1,2018-02-20 10:21:32.557611
m3-216,m3-207,0x00000054a3,1,1,2018-02-20 10:21:32.560522
m3-220,m3-216,0x00000054a9,1,3,2018-02-20 10:21:32.626817
m3-244,m3-220,0x000000556a,1,1,2018-02-20 10:21:35.552607
m3-216,m3-207,0x000000556a,1,1,2018-02-20 10:21:35.554507
m3-265,m3-257,0x000000556a,1,1,2018-02-20 10:21:35.558779
m3-209,m3-207,0x000000556e,6,0,2018-02-20 10:21:35.584482
m3-228,m3-216,0x0000005631,1,2,2018-02-20 10:21:38.514515
m3-216,m3-207,0x0000005631,1,1,2018-02-20 10:21:38.532779
m3-225,m3-232,0x0000005631,1,1,2018-02-20 10:21:38.540561
m3-209,m3-207,0x0000005635,1,3,2018-02-20 10:21:38.561944
m3-252,m3-232,0x0000005640,1,2,2018-02-20 10:21:38.723387
m3-208,m3-209,0x00000056f8,1,1,2018-02-20 10:21:41.489413
m3-252,m3-232,0x0000005707,1,2,2018-02-20 10:21:41.721073
m3-257,m3-252,0x00000057bf,1,1,2018-02-20 10:21:44.470179
m3-216,m3-217,0x00000057bf,1,3,2018-02-20 10:21:44.471611
m3-209,m3-207,0x00000057c3,1,3,2018-02-20 10:21:44.520931
m3-256,m3-252,0x0000005886,1,1,2018-02-20 10:21:47.463602
m3-213,m3-216,0x0000005886,1,1,2018-02-20 10:21:47.477285
m3-229,m3-216,0x0000005886,1,1,2018-02-20 10:21:47.481114
m3-220,m3-207,0x00000058b9,6,0,2018-02-20 10:21:48.206841
m3-216,m3-217,0x000000594d,1,3,2018-02-20 10:21:50.450181
m3-224,m3-216,0x000000594d,1,1,2018-02-20 10:21:50.462512
m3-260,m3-240,0x000000594d,1,2,2018-02-20 10:21:50.472282
m3-232,m3-216,0x0000005953,6,0,2018-02-20 10:21:50.505744
m3-209,m3-207,0x0000005a18,1,2,2018-02-20 10:21:53.466698
m3-260,m3-240,0x0000005adb,1,2,2018-02-20 10:21:56.399745
m3-264,m3-265,0x0000005adb,1,1,2018-02-20 10:21:56.406629
m3-240,m3-216,0x0000005ba2,1,2,2018-02-20 10:21:59.41834
m3-224,m3-216,0x0000005ba2,1,1,2018-02-20 10:21:59.419529
m3-216,m3-217,0x0000005ba2,1,3,2018-02-20 10:21:59.422812
m3-213,m3-216,0x0000005ba2,1,1,2018-02-20 10:21:59.434588
m3-265,m3-257,0x0000005ba5,1,1,2018-02-20 10:21:59.443523
m3-217,m3-207,0x0000005bb3,1,3,2018-02-20 10:21:59.628485
m3-260,m3-240,0x0000005c69,1,2,2018-02-20 10:22:02.373232
m3-229,m3-216,0x0000005c69,1,1,2018-02-20 10:22:02.39591
m3-257,m3-252,0x0000005c69,1,1,2018-02-20 10:22:02.396316
m3-228,m3-216,0x0000005d30,1,2,2018-02-20 10:22:05.376691
m3-240,m3-216,0x0000005d30,1,2,2018-02-20 10:22:05.385494
m3-216,m3-217,0x0000005d30,6,0,2018-02-20 10:22:05.385938
m3-213,m3-216,0x0000005d30,1,1,2018-02-20 10:22:05.389225
m3-217,m3-207,0x0000005d41,1,3,2018-02-20 10:22:05.579128
m3-232,m3-216,0x0000005dfd,6,0,2018-02-20 10:22:08.401722
m3-260,m3-240,0x0000005ebe,1,2,2018-02-20 10:22:11.299707
m3-232,m3-216,0x0000005ec4,6,0,2018-02-20 10:22:11.396814
m3-224,m3-216,0x0000005f85,1,1,2018-02-20 10:22:14.303915
m3-229,m3-216,0x0000005f85,1,1,2018-02-20 10:22:14.307824
m3-217,m3-207,0x0000005f96,1,3,2018-02-20 10:22:14.533814
m3-220,m3-207,0x000000601d,6,0,2018-02-20 10:22:16.554312
m3-216,m3-217,0x000000604c,6,0,2018-02-20 10:22:17.274785
m3-240,m3-216,0x0000006113,1,2,2018-02-20 10:22:20.25265
m3-232,m3-216,0x0000006119,6,0,2018-02-20 10:22:20.334074
m3-252,m3-232,0x0000006122,1,3,2018-02-20 10:22:20.491332
m3-229,m3-216,0x00000061da,1,1,2018-02-20 10:22:23.236366
m3-260,m3-240,0x00000061da,1,2,2018-02-20 10:22:23.239582
m3-232,m3-216,0x00000061e0,6,0,2018-02-20 10:22:23.319748
m3-240,m3-216,0x00000062a1,1,3,2018-02-20 10:22:26.215297
m3-216,m3-217,0x0000006368,1,3,2018-02-20 10:22:29.195394
m3-213,m3-216,0x0000006368,1,1,2018-02-20 10:22:29.200435
m3-216,m3-217,0x000000642f,1,3,2018-02-20 10:22:32.178226
m3-237,m3-212,0x00000064f6,1,1,2018-02-20 10:22:35.195288
m3-257,m3-236,0x00000064f6,1,3,2018-02-20 10:22:35.209312
m3-240,m3-216,0x00000064f6,1,3,2018-02-20 10:22:35.22036
m3-224,m3-216,0x00000064f6,1,1,2018-02-20 10:22:35.221365
m3-252,m3-232,0x0000006505,1,3,2018-02-20 10:22:35.387568
m3-244,m3-232,0x00000065bd,1,1,2018-02-20 10:22:38.147281
m3-213,m3-216,0x00000065bd,1,1,2018-02-20 10:22:38.15242
m3-240,m3-216,0x0000006684,1,3,2018-02-20 10:22:41.146245
m3-237,m3-212,0x0000006684,1,1,2018-02-20 10:22:41.149159
m3-228,m3-216,0x0000006684,1,2,2018-02-20 10:22:41.158042
m3-220,m3-216,0x000000668a,1,3,2018-02-20 10:22:41.205466
m3-229,m3-216,0x000000674b,1,1,2018-02-20 10:22:44.134552
m3-244,m3-232,0x000000674b,1,1,2018-02-20 10:22:44.153415
m3-257,m3-236,0x000000674b,1,3,2018-02-20 10:22:44.157638
m3-229,m3-216,0x0000006812,1,1,2018-02-20 10:22:47.098872
m3-216,m3-217,0x0000006812,6,0,2018-02-20 10:22:47.107497
m3-220,m3-216,0x0000006818,1,2,2018-02-20 10:22:47.165141
m3-232,m3-216,0x00000068df,6,0,2018-02-20 10:22:50.15996
m3-237,m3-212,0x00000069a0,1,1,2018-02-20 10:22:53.061152
m3-244,m3-232,0x00000069a0,1,1,2018-02-20 10:22:53.067316
m3-260,m3-236,0x0000006a16,6,0,2018-02-20 10:22:54.814158
m3-229,m3-216,0x0000006a67,1,1,2018-02-20 10:22:56.02755
m3-216,m3-217,0x0000006a67,6,0,2018-02-20 10:22:56.035554
m3-233,m3-232,0x0000006b0e,6,0,2018-02-20 10:22:58.53313
m3-260,m3-228,0x0000006b2e,1,2,2018-02-20 10:22:59.006532
m3-216,m3-217,0x0000006b2e,6,0,2018-02-20 10:22:59.019475
m3-233,m3-212,0x0000006bf5,1,1,2018-02-20 10:23:02.043412
m3-216,m3-217,0x0000006bf5,6,0,2018-02-20 10:23:02.070502
m3-237,m3-212,0x0000006bf5,1,1,2018-02-20 10:23:02.07529
m3-260,m3-228,0x0000006bf5,1,2,2018-02-20 10:23:02.079684
m3-244,m3-212,0x0000006bf5,1,1,2018-02-20 10:23:02.083392
m3-225,m3-212,0x0000006bf5,1,1,2018-02-20 10:23:02.0853
m3-213,m3-216,0x0000006cbc,1,1,2018-02-20 10:23:04.978725
m3-237,m3-212,0x0000006d83,1,1,2018-02-20 10:23:07.970278
m3-216,m3-217,0x0000006d83,6,0,2018-02-20 10:23:07.974765
m3-228,m3-216,0x0000006d83,1,2,2018-02-20 10:23:07.987997
m3-233,m3-212,0x0000006e4a,1,1,2018-02-20 10:23:10.938782
m3-216,m3-217,0x0000006e4a,6,0,2018-02-20 10:23:10.943345
m3-232,m3-216,0x0000006e50,6,0,2018-02-20 10:23:11.031767
m3-252,m3-232,0x0000006e59,1,3,2018-02-20 10:23:11.158008
m3-220,m3-207,0x0000006ee7,6,0,2018-02-20 10:23:13.285171
m3-213,m3-216,0x0000006f11,1,1,2018-02-20 10:23:13.97386
m3-260,m3-228,0x0000006f11,1,2,2018-02-20 10:23:13.987888
m3-237,m3-212,0x0000006f11,1,1,2018-02-20 10:23:13.98948
m3-225,m3-212,0x0000006f11,1,1,2018-02-20 10:23:13.9911
m3-252,m3-232,0x0000006f20,1,3,2018-02-20 10:23:14.147973
m3-237,m3-240,0x0000006fd8,1,1,2018-02-20 10:23:16.908245
m3-212,m3-216,0x000000709f,1,1,2018-02-20 10:23:19.880788
m3-228,m3-216,0x000000709f,1,2,2018-02-20 10:23:19.894852
m3-233,m3-212,0x0000007166,1,1,2018-02-20 10:23:22.878537
m3-244,m3-212,0x0000007166,1,1,2018-02-20 10:23:22.884077
m3-237,m3-240,0x000000722d,1,1,2018-02-20 10:23:25.85386
m3-216,m3-217,0x000000722d,1,3,2018-02-20 10:23:25.855913
m3-212,m3-216,0x0000007291,6,0,2018-02-20 10:23:27.332575
m3-244,m3-212,0x00000072f4,1,1,2018-02-20 10:23:28.825562
m3-252,m3-232,0x0000007303,1,2,2018-02-20 10:23:29.049593
m3-233,m3-212,0x00000073bb,1,1,2018-02-20 10:23:31.80641
m3-237,m3-240,0x0000007482,1,1,2018-02-20 10:23:34.818784
m3-212,m3-207,0x0000007482,1,2,2018-02-20 10:23:34.836859
m3-245,m3-232,0x0000007482,1,1,2018-02-20 10:23:34.837012
m3-216,m3-217,0x0000007482,1,3,2018-02-20 10:23:34.841897
m3-252,m3-240,0x0000007491,1,3,2018-02-20 10:23:35.017901
m3-245,m3-232,0x0000007549,1,1,2018-02-20 10:23:37.817866
m3-228,m3-216,0x0000007549,1,2,2018-02-20 10:23:37.823649
m3-244,m3-212,0x0000007549,1,1,2018-02-20 10:23:37.826691
m3-217,m3-209,0x0000007549,1,3,2018-02-20 10:23:37.831555
m3-252,m3-240,0x0000007558,1,3,2018-02-20 10:23:37.991896
m3-216,m3-217,0x0000007610,1,3,2018-02-20 10:23:40.770398
m3-217,m3-209,0x0000007610,1,3,2018-02-20 10:23:40.78598
m3-233,m3-212,0x0000007610,1,1,2018-02-20 10:23:40.792119
m3-220,m3-207,0x000000764c,6,0,2018-02-20 10:23:41.665952
m3-216,m3-217,0x00000076d7,1,3,2018-02-20 10:23:43.733213
m3-225,m3-232,0x0000007747,6,0,2018-02-20 10:23:45.411226
m3-245,m3-240,0x000000776a,6,0,2018-02-20 10:23:45.936138
m3-237,m3-240,0x000000779e,1,1,2018-02-20 10:23:46.720247
m3-244,m3-212,0x000000779e,1,1,2018-02-20 10:23:46.722537
m3-209,m3-207,0x00000077a2,1,3,2018-02-20 10:23:46.773545
m3-241,m3-228,0x00000077ab,1,3,2018-02-20 10:23:46.907951
m3-252,m3-240,0x00000077ad,1,3,2018-02-20 10:23:46.93586
m3-241,m3-232,0x0000007861,6,0,2018-02-20 10:23:49.636535
m3-233,m3-212,0x0000007865,1,1,2018-02-20 10:23:49.74599
m3-245,m3-232,0x0000007865,1,1,2018-02-20 10:23:49.747627
m3-217,m3-207,0x0000007865,6,0,2018-02-20 10:23:49.752316
m3-217,m3-209,0x000000792c,1,3,2018-02-20 10:23:52.688008
m3-224,m3-217,0x000000792c,1,1,2018-02-20 10:23:52.691807
m3-241,m3-228,0x0000007939,1,1,2018-02-20 10:23:52.873027
m3-244,m3-212,0x00000079f3,1,1,2018-02-20 10:23:55.668381
m3-233,m3-212,0x00000079f3,1,1,2018-02-20 10:23:55.679106
m3-209,m3-207,0x00000079f7,1,3,2018-02-20 10:23:55.718692
m3-212,m3-216,0x0000007a34,6,0,2018-02-20 10:23:56.641107
m3-224,m3-216,0x0000007a34,6,0,2018-02-20 10:23:56.646165
m3-217,m3-209,0x0000007aba,1,1,2018-02-20 10:23:58.650415
m3-228,m3-216,0x0000007aba,1,3,2018-02-20 10:23:58.651056
m3-209,m3-207,0x0000007b85,1,1,2018-02-20 10:24:01.681073
m3-233,m3-212,0x0000007d0f,1,1,2018-02-20 10:24:07.584087
m3-248,m3-212,0x0000007d0f,1,1,2018-02-20 10:24:07.594653
m3-233,m3-212,0x0000007e9d,1,1,2018-02-20 10:24:13.600335
m3-212,m3-207,0x0000007e9d,1,2,2018-02-20 10:24:13.604103
m3-257,m3-244,0x0000007e9d,1,3,2018-02-20 10:24:13.605055
m3-220,m3-207,0x0000007ea3,1,3,2018-02-20 10:24:13.66037
m3-228,m3-216,0x0000007eac,1,3,2018-02-20 10:24:13.787221
m3-225,m3-232,0x0000007ebb,6,0,2018-02-20 10:24:13.996826
m3-244,m3-212,0x0000007f64,1,1,2018-02-20 10:24:16.530766
m3-220,m3-207,0x0000007f6a,1,3,2018-02-20 10:24:16.627636
m3-241,m3-232,0x0000007fe7,6,0,2018-02-20 10:24:18.48417
m3-216,m3-217,0x000000803a,1,3,2018-02-20 10:24:19.768795
m3-212,m3-207,0x000000803b,1,1,2018-02-20 10:24:19.786948
m3-233,m3-212,0x00000080f2,1,1,2018-02-20 10:24:22.492709
m3-216,m3-217,0x0000008101,6,0,2018-02-20 10:24:22.727675
m3-257,m3-244,0x00000081b9,1,3,2018-02-20 10:24:25.478625
m3-224,m3-216,0x00000081d8,6,0,2018-02-20 10:24:25.985583
m3-248,m3-241,0x000000823c,6,0,2018-02-20 10:24:27.442683
m3-229,m3-220,0x0000008280,1,1,2018-02-20 10:24:28.467709
m3-220,m3-207,0x0000008286,1,2,2018-02-20 10:24:28.546564
m3-216,m3-217,0x000000828f,1,3,2018-02-20 10:24:28.687061
m3-252,m3-224,0x000000828f,1,3,2018-02-20 10:24:28.687965
m3-233,m3-212,0x0000008347,1,1,2018-02-20 10:24:31.436956
m3-248,m3-212,0x000000840e,1,1,2018-02-20 10:24:34.451427
m3-256,m3-232,0x000000840e,1,1,2018-02-20 10:24:34.454255
m3-264,m3-212,0x0000008411,1,1,2018-02-20 10:24:34.481073
m3-233,m3-212,0x00000084d5,1,1,2018-02-20 10:24:37.43089
m3-216,m3-217,0x00000084e4,1,3,2018-02-20 10:24:37.687621
m3-252,m3-224,0x00000084e4,1,3,2018-02-20 10:24:37.687737
m3-220,m3-207,0x00000084e6,1,1,2018-02-20 10:24:37.850139
m3-236,m3-216,0x000000859c,1,1,2018-02-20 10:24:40.417611
m3-248,m3-212,0x000000859c,1,1,2018-02-20 10:24:40.421172
m3-232,m3-212,0x000000859c,6,0,2018-02-20 10:24:40.42925
m3-225,m3-232,0x0000008630,6,0,2018-02-20 10:24:42.625597
m3-256,m3-264,0x0000008663,1,1,2018-02-20 10:24:43.375037
m3-236,m3-216,0x0000008663,1,1,2018-02-20 10:24:43.378069
m3-252,m3-224,0x0000008672,1,3,2018-02-20 10:24:43.614627
m3-212,m3-207,0x0000008673,1,1,2018-02-20 10:24:43.63543
m3-264,m3-212,0x000000872d,1,1,2018-02-20 10:24:46.394025
m3-228,m3-216,0x0000008739,1,3,2018-02-20 10:24:46.57408
m3-241,m3-232,0x000000876d,6,0,2018-02-20 10:24:47.352782
m3-257,m3-244,0x00000087f1,1,3,2018-02-20 10:24:49.338717
m3-233,m3-212,0x00000087f1,1,1,2018-02-20 10:24:49.350902
m3-241,m3-228,0x0000008800,2,2,2018-02-20 10:24:49.584862
m3-252,m3-224,0x0000008800,1,3,2018-02-20 10:24:49.585135
m3-220,m3-207,0x0000008806,2,2,2018-02-20 10:24:49.642562
m3-212,m3-216,0x000000897b,6,0,2018-02-20 10:24:55.233113
m3-233,m3-212,0x000000897f,1,1,2018-02-20 10:24:55.299308
m3-257,m3-244,0x000000897f,1,3,2018-02-20 10:24:55.301432
m3-264,m3-212,0x0000008982,1,1,2018-02-20 10:24:55.335115
m3-256,m3-264,0x0000008a46,1,1,2018-02-20 10:24:58.286341
m3-252,m3-224,0x0000008a55,1,3,2018-02-20 10:24:58.54772
m3-257,m3-244,0x0000008b0d,1,3,2018-02-20 10:25:01.269758
m3-264,m3-212,0x0000008b10,1,1,2018-02-20 10:25:01.301868
m3-216,m3-217,0x0000008b1c,1,3,2018-02-20 10:25:01.488835
m3-232,m3-212,0x0000008bd4,6,0,2018-02-20 10:25:04.253829
m3-252,m3-224,0x0000008be3,1,3,2018-02-20 10:25:04.464262
m3-256,m3-252,0x0000008c79,6,0,2018-02-20 10:25:06.714873
m3-220,m3-216,0x0000008c7a,6,0,2018-02-20 10:25:06.732137
m3-264,m3-212,0x0000008c9e,1,1,2018-02-20 10:25:07.265301
m3-241,m3-228,0x0000008caa,2,2,2018-02-20 10:25:07.460721
m3-224,m3-217,0x0000008d62,1,3,2018-02-20 10:25:10.232445
m3-248,m3-212,0x0000008d62,1,1,2018-02-20 10:25:10.235509
m3-257,m3-244,0x0000008d62,1,3,2018-02-20 10:25:10.238033
m3-232,m3-212,0x0000008e29,6,0,2018-02-20 10:25:13.211594
m3-236,m3-216,0x0000008e29,1,1,2018-02-20 10:25:13.227892
m3-248,m3-212,0x0000008e29,1,1,2018-02-20 10:25:13.22794
m3-216,m3-217,0x0000008e38,1,3,2018-02-20 10:25:13.484789
m3-220,m3-207,0x0000008e3d,2,2,2018-02-20 10:25:13.496485
m3-264,m3-212,0x0000008ef3,1,1,2018-02-20 10:25:16.215435
m3-217,m3-209,0x0000008ef0,1,1,2018-02-20 10:25:16.227753
m3-216,m3-217,0x0000008eff,1,3,2018-02-20 10:25:16.390191
m3-220,m3-207,0x0000008f01,1,1,2018-02-20 10:25:16.419033
m3-257,m3-244,0x0000008fb7,1,3,2018-02-20 10:25:19.15856
m3-224,m3-217,0x0000008fb7,1,3,2018-02-20 10:25:19.165364
m3-253,m3-244,0x0000008fc6,1,1,2018-02-20 10:25:19.371899
m3-209,m3-207,0x0000009082,1,1,2018-02-20 10:25:22.189521
m3-253,m3-244,0x000000908d,1,1,2018-02-20 10:25:22.371659
m3-228,m3-216,0x000000908d,1,3,2018-02-20 10:25:22.376705
m3-237,m3-229,0x0000009145,1,1,2018-02-20 10:25:25.137197
m3-248,m3-212,0x0000009145,1,1,2018-02-20 10:25:25.152436
m3-216,m3-217,0x0000009154,1,3,2018-02-20 10:25:25.335512
m3-240,m3-228,0x000000920c,1,1,2018-02-20 10:25:28.106989
m3-260,m3-264,0x000000920c,1,1,2018-02-20 10:25:28.116543
m3-257,m3-244,0x000000920c,1,3,2018-02-20 10:25:28.123332
m3-253,m3-244,0x000000921b,1,1,2018-02-20 10:25:28.318156
m3-244,m3-212,0x000000921c,1,1,2018-02-20 10:25:28.333593
m3-256,m3-264,0x00000092d3,1,1,2018-02-20 10:25:31.074655
m3-236,m3-216,0x00000092d3,1,1,2018-02-20 10:25:31.076965
m3-209,m3-207,0x00000092d7,1,1,2018-02-20 10:25:31.125358
m3-253,m3-244,0x00000092e2,1,1,2018-02-20 10:25:31.332775
m3-248,m3-228,0x000000939a,1,1,2018-02-20 10:25:34.062979
m3-217,m3-209,0x000000939b,1,2,2018-02-20 10:25:34.091443
m3-264,m3-212,0x000000939d,1,3,2018-02-20 10:25:34.091836
m3-216,m3-217,0x00000093a9,1,3,2018-02-20 10:25:34.296019
m3-256,m3-252,0x00000093de,6,0,2018-02-20 10:25:35.075188
m3-217,m3-209,0x0000009462,1,2,2018-02-20 10:25:37.116345
m3-216,m3-217,0x0000009470,6,0,2018-02-20 10:25:37.303269
m3-209,m3-207,0x0000009473,1,2,2018-02-20 10:25:37.331885
m3-253,m3-244,0x0000009537,6,0,2018-02-20 10:25:40.307234
m3-241,m3-228,0x0000009537,2,2,2018-02-20 10:25:40.335943
m3-232,m3-212,0x00000095ef,6,0,2018-02-20 10:25:43.048223
m3-236,m3-216,0x00000095ef,1,1,2018-02-20 10:25:43.055009
m3-224,m3-217,0x00000095ef,1,3,2018-02-20 10:25:43.060093
m3-217,m3-209,0x00000095ef,6,0,2018-02-20 10:25:43.062239
m3-216,m3-217,0x00000095fe,1,3,2018-02-20 10:25:43.233062
m3-253,m3-244,0x00000095fe,1,1,2018-02-20 10:25:43.238206
m3-248,m3-228,0x00000096b6,1,1,2018-02-20 10:25:46.022051
m3-265,m3-264,0x00000096b9,1,2,2018-02-20 10:25:46.163408
m3-253,m3-244,0x00000096c5,1,1,2018-02-20 10:25:46.208402
m3-217,m3-209,0x000000977d,6,0,2018-02-20 10:25:48.997618
m3-232,m3-212,0x000000977d,6,0,2018-02-20 10:25:49.001297
m3-241,m3-228,0x000000978a,1,1,2018-02-20 10:25:49.160109
m3-220,m3-207,0x000000978e,1,1,2018-02-20 10:25:49.225425
m3-228,m3-216,0x0000009792,1,2,2018-02-20 10:25:49.303005
m3-265,m3-264,0x0000009847,1,2,2018-02-20 10:25:51.992751
m3-228,m3-216,0x0000009859,1,2,2018-02-20 10:25:52.251672
m3-248,m3-228,0x000000990b,1,1,2018-02-20 10:25:54.962392
m3-217,m3-209,0x000000990b,6,0,2018-02-20 10:25:54.964504
m3-232,m3-212,0x000000990b,1,1,2018-02-20 10:25:54.971786
m3-253,m3-244,0x000000991a,1,1,2018-02-20 10:25:55.150139
m3-261,m3-256,0x00000099d2,1,1,2018-02-20 10:25:57.9236
m3-237,m3-229,0x00000099d2,1,1,2018-02-20 10:25:57.929302
m3-216,m3-217,0x00000099e1,1,3,2018-02-20 10:25:58.153188
m3-232,m3-212,0x0000009a99,1,1,2018-02-20 10:26:00.926121
m3-248,m3-228,0x0000009a99,1,1,2018-02-20 10:26:00.951015
m3-256,m3-264,0x0000009a99,1,1,2018-02-20 10:26:00.951196
m3-265,m3-264,0x0000009a9c,1,2,2018-02-20 10:26:00.971293
m3-241,m3-228,0x0000009b6d,1,1,2018-02-20 10:26:04.07278
m3-253,m3-244,0x0000009b6f,1,1,2018-02-20 10:26:04.104405
m3-256,m3-264,0x0000009c27,1,1,2018-02-20 10:26:06.906208
m3-232,m3-212,0x0000009cee,1,1,2018-02-20 10:26:09.850154
m3-221,m3-209,0x0000009db5,1,1,2018-02-20 10:26:12.820675
m3-212,m3-207,0x0000009dc5,1,1,2018-02-20 10:26:13.094986
m3-221,m3-209,0x0000009e7c,1,1,2018-02-20 10:26:15.804599
m3-224,m3-217,0x0000009e7c,1,3,2018-02-20 10:26:15.807245
m3-216,m3-217,0x0000009e8b,1,3,2018-02-20 10:26:16.036259
m3-253,m3-252,0x0000009ef0,6,0,2018-02-20 10:26:17.542076
m3-221,m3-209,0x0000009f43,1,1,2018-02-20 10:26:18.791856
m3-217,m3-209,0x0000009f43,6,0,2018-02-20 10:26:18.797796
m3-244,m3-212,0x0000009f47,6,0,2018-02-20 10:26:18.840833
m3-216,m3-217,0x0000009f52,6,0,2018-02-20 10:26:19.066707
m3-220,m3-207,0x0000009f54,1,1,2018-02-20 10:26:19.070413
m3-236,m3-216,0x000000a00a,1,1,2018-02-20 10:26:21.781426
m3-252,m3-224,0x000000a00c,2,2,2018-02-20 10:26:21.799013
m3-216,m3-217,0x000000a019,6,0,2018-02-20 10:26:22.003952
m3-244,m3-220,0x000000a0d1,1,2,2018-02-20 10:26:24.769594
m3-248,m3-228,0x000000a0d1,1,1,2018-02-20 10:26:24.775825
m3-221,m3-209,0x000000a0d1,1,1,2018-02-20 10:26:24.783975
m3-228,m3-216,0x000000a0e6,1,3,2018-02-20 10:26:25.062058
m3-237,m3-229,0x000000a198,1,1,2018-02-20 10:26:27.74908
m3-248,m3-228,0x000000a198,1,1,2018-02-20 10:26:27.760057
m3-244,m3-220,0x000000a198,1,2,2018-02-20 10:26:27.76425
m3-216,m3-217,0x000000a1a7,6,0,2018-02-20 10:26:27.966104
m3-224,m3-217,0x000000a326,1,3,2018-02-20 10:26:33.714617
m3-221,m3-209,0x000000a3ed,1,1,2018-02-20 10:26:36.672288
m3-228,m3-216,0x000000a402,1,3,2018-02-20 10:26:36.992356
m3-221,m3-209,0x000000a57b,1,1,2018-02-20 10:26:42.636854
m3-216,m3-217,0x000000a58a,6,0,2018-02-20 10:26:42.862392
m3-229,m3-225,0x000000a64a,1,1,2018-02-20 10:26:45.738386
m3-225,m3-212,0x000000a709,1,1,2018-02-20 10:26:48.640185
m3-233,m3-225,0x000000a709,1,1,2018-02-20 10:26:48.655553
m3-260,m3-224,0x000000a709,1,1,2018-02-20 10:26:48.662161
m3-217,m3-209,0x000000a709,1,3,2018-02-20 10:26:48.6688
m3-216,m3-217,0x000000a718,1,3,2018-02-20 10:26:48.827463
m3-260,m3-224,0x000000a897,1,1,2018-02-20 10:26:54.567222
m3-217,m3-209,0x000000a897,1,3,2018-02-20 10:26:54.5695
m3-221,m3-212,0x000000a95e,1,1,2018-02-20 10:26:57.609721
m3-236,m3-216,0x000000a95e,1,1,2018-02-20 10:26:57.611958
m3-217,m3-209,0x000000a95e,6,0,2018-02-20 10:26:57.613865
m3-233,m3-225,0x000000a95e,1,1,2018-02-20 10:26:57.624093
m3-252,m3-224,0x000000a960,2,2,2018-02-20 10:26:57.630921
m3-228,m3-216,0x000000a973,1,3,2018-02-20 10:26:57.86125
m3-217,m3-209,0x000000aa25,1,3,2018-02-20 10:27:00.554031
m3-244,m3-220,0x000000aa25,1,2,2018-02-20 10:27:00.55657
m3-233,m3-225,0x000000aaec,1,1,2018-02-20 10:27:03.537689
